unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;Genotype_Trt;22/09/2023 11:42;22/09/2023 14:26;23/09/2023 07:36;23/09/2023 10:02;24/09/2023 10:04;24/09/2023 13:02;25/09/2023 10:07;25/09/2023 14:28;26/09/2023 10:08;26/09/2023 14:21;27/09/2023 09:49;27/09/2023 15:21;28/09/2023 09:42;28/09/2023 12:18;29/09/2023 11:32;29/09/2023 14:23;30/09/2023 08:20;30/09/2023 10:36;01/10/2023 12:39;01/10/2023 15:27
27:01:01;27:01:01;Exp60;WW_R1;Sorghum;Exp60_133_IS18551;Exp60_133_IS18551;1;Exp60_133_IS18551_WW_R1;2505.97;2630.22;3468.1;3814.06;5344.07;5881.21;8128.41;9383.65;10730;12154;14997.5;17039.6;21150;17929.7;25234.4;21408.7;23865.1;26429;37884.2;54793
27:01:02;27:01:02;Exp60;WW_R1;Sorghum;Exp60_67_IS8347;Exp60_67_IS8347;1;Exp60_67_IS8347_WW_R1;1917.13;2047.23;2491.23;2804.91;4860.43;4773.8;5416.21;6960;8140.14;9187.63;10754.6;13779.7;18712.5;17543;26938.1;23072.5;33402.8;31104.7;48951.5;48190.3
27:02:01;27:02:01;Exp60;WW_R1;Sorghum;Exp60_238_IS26815;Exp60_238_IS26815;1;Exp60_238_IS26815_WW_R1;4304.8;5984.37;5409.88;5869.83;8889.49;9182.73;13876.1;14380.3;14873.6;14531.6;15737;20352.1;31636.9;25505.7;35890.4;37060.3;7797.19;7101.25;47517.2;73342.4
27:02:02;27:02:02;Exp60;WW_R1;Sorghum;Exp60_154_IS20016;Exp60_154_IS20016;1;Exp60_154_IS20016_WW_R1;1272.54;2166.2;2609.38;2795.04;3476.72;4675.02;6802.39;7309.57;8683.29;9547.64;10445.3;11672.8;17666.7;18882.9;24563.5;25550.3;36251.4;38820;88062.8;72725.8
27:03:01;27:03:01;Exp60;WW_R1;Sorghum;Exp60_289_IS32087;Exp60_289_IS32087;1;Exp60_289_IS32087_WW_R1;52.962;73.04;130.643;213.148;330.658;332.789;635.886;653.627;951.468;1006.7;1588.52;1691.44;2814.13;3350.99;6260.85;4992.41;35310.9;33287.3;50481.7;58933.7
27:03:02;27:03:02;Exp60;WW_R1;Sorghum;Exp60_266_IS30175;Exp60_266_IS30175;1;Exp60_266_IS30175_WW_R1;1582.86;1765.38;2374.65;3047.87;6770.3;7245.64;11449.1;10363;14550.8;15070.2;20228.9;21919;28458.9;20848.6;29161.5;26539.5;33425.2;39467;79076.8;55384
27:04:01;27:04:01;Exp60;WW_R1;Sorghum;Exp60_172_IS20763;Exp60_172_IS20763;1;Exp60_172_IS20763_WW_R1;7517.97;7696.75;8858.86;9262.11;16656.4;15669.8;19758.9;22047.4;24475.7;26945.3;35058.3;39801.5;53792.1;29624.5;43029.7;40492.9;33427.9;33695.7;39913.4;45059.6
27:04:02;27:04:02;Exp60;WW_R1;Sorghum;Exp60_246_IS27791;Exp60_246_IS27791;1;Exp60_246_IS27791_WW_R1;2565.84;2536.79;3166.89;3604.69;4680.77;6028;8268.06;10268.7;12790;14744.5;22207.8;19958.6;26365.2;19247.4;21093.6;21005.1;14522;16167.7;53540;16102.7
27:05:01;27:05:01;Exp60;WW_R1;Sorghum;Exp60_51_IS5867;Exp60_51_IS5867;1;Exp60_51_IS5867_WW_R1;1821.92;1606.71;2151.32;2015.91;3019.02;3210.63;4285.91;5865.8;5901.95;6322.4;7926.82;9158.34;13722.5;12270.7;20951.6;18944.8;19729.5;19868;39122.6;44026.9
27:05:02;27:05:02;Exp60;WW_R1;Sorghum;Exp60_270_IS30436;Exp60_270_IS30436;1;Exp60_270_IS30436_WW_R1;3650.69;4160.17;4287.42;4249.51;6134.42;8850.99;9187.44;12516.7;11212.5;12364.6;18026.5;19532.4;25317.3;27942.2;38588.9;33833;66600.9;74901.6;69613.3;52553.5
27:06:01;27:06:01;Exp60;WW_R1;Sorghum;Exp60_22_IS2834;Exp60_22_IS2834;1;Exp60_22_IS2834_WW_R1;2688.76;2896.2;3566.5;3574.81;7687.8;7608.83;9186.78;11910;12949.9;14024;19894;22896.6;30077.7;25042.9;37373.4;31093.2;38747.1;36766.2;70964.6;50744.1
27:06:02;27:06:02;Exp60;WW_R1;Sorghum;Exp60_185_IS22040;Exp60_185_IS22040;1;Exp60_185_IS22040_WW_R1;1541.03;1831.71;2386.9;2362.16;3798.71;3938.08;5832.55;5783.02;7505.05;8445.86;9225.29;11143;15464.1;20092.8;29772.8;24554;21871.3;28366.3;42177.4;68893.9
