Date;TS;Temp;RH;VPD;SR;WS
01/10/2023;00:00:00;26.8;85.80%;;0;0
01/10/2023;00:15:00;26.74;86%;;0;0
01/10/2023;00:30:00;26.76;86.50%;;0;0
01/10/2023;00:45:00;26.88;86.70%;;0;0
01/10/2023;01:00:00;26.95;86.60%;;0;0
01/10/2023;01:15:00;26.84;85.70%;;0;0
01/10/2023;01:30:00;26.71;86%;;0;0
01/10/2023;01:45:00;26.51;86.30%;;0;0
01/10/2023;02:00:00;26.42;86.30%;;0;0
01/10/2023;02:15:00;26.3;86.40%;;0;0
01/10/2023;02:30:00;26.15;87.10%;;0;0
01/10/2023;02:45:00;25.99;87.70%;;0;0
01/10/2023;03:00:00;25.78;87.60%;;0;0
01/10/2023;03:15:00;25.82;87.60%;;0;0
01/10/2023;03:30:00;25.8;88.30%;;0;0
01/10/2023;03:45:00;25.75;88.10%;;0;0
01/10/2023;04:00:00;25.67;88.10%;;0;0
01/10/2023;04:15:00;25.5;88.70%;;0;0
01/10/2023;04:30:00;25.42;89%;;0;0
01/10/2023;04:45:00;25.24;90%;;0;0
01/10/2023;05:00:00;25.22;88.70%;;0;0
01/10/2023;05:15:00;25.23;89%;;0;0
01/10/2023;05:30:00;25.1;89%;;0;0
01/10/2023;05:45:00;25.09;88.90%;;0;0
01/10/2023;06:00:00;25.08;89.10%;;0;0
01/10/2023;06:15:00;25.02;90%;;0;0
01/10/2023;06:30:00;24.92;89.20%;;0;0.038
01/10/2023;06:45:00;24.79;90%;;0;0
01/10/2023;07:00:00;24.68;90.10%;;0;0.777
01/10/2023;07:15:00;24.58;90.30%;;0;0.626
01/10/2023;07:30:00;24.48;90.70%;;0;0
01/10/2023;07:45:00;24.61;91.20%;;9.17;0
01/10/2023;08:00:00;24.73;91.40%;;19;0
01/10/2023;08:15:00;24.94;91.80%;;20.12;0
01/10/2023;08:30:00;25.02;91.20%;;26.83;0.013
01/10/2023;08:45:00;25.33;91.70%;;48.06;0
01/10/2023;09:00:00;26.16;90.30%;;72.75;1.343
01/10/2023;09:15:00;26.55;86.50%;;53.64;1.593
