"","unit","old_unit","Experiment","Treatment","Species","Genotype","G..Alias","Replicates"
"1","131:10:01","131:10:01","Exp60","WW_R1","Sorghum","Exp60_125_IS15752","Exp60_125_IS15752",1
"2","131:10:02","131:10:02","Exp60","WW_R1","Sorghum","Exp60_60_IS6828","Exp60_60_IS6828",1
"3","131:11:01","131:11:01","Exp60","WW_R1","Sorghum","Exp60_146_IS19053","Exp60_146_IS19053",1
"4","131:11:02","131:11:02","Exp60","WW_R1","Sorghum","Exp60_8_IS2156","Exp60_8_IS2156",1
"5","131:12:01","131:12:01","Exp60","WW_R1","Sorghum","Exp60_29_IS3443","Exp60_29_IS3443",1
"6","131:12:02","131:12:02","Exp60","WW_R1","Sorghum","Exp60_46_IS4821","Exp60_46_IS4821",1
"7","131:01:01","131:01:01","Exp60","WW_R1","Sorghum","Exp60_65_IS8218","Exp60_65_IS8218",1
"8","131:01:02","131:01:02","Exp60","WW_R1","Sorghum","Exp60_138_IS18868","Exp60_138_IS18868",1
"9","131:01:02","131:01:02","Exp60","WW_R1","Sorghum","Exp60_138_IS18868","Exp60_138_IS18868",1
"10","131:02:01","131:02:01","Exp60","WW_R1","Sorghum","Exp60_316_SSM249","Exp60_316_SSM249",1
"11","131:02:02","131:02:02","Exp60","WW_R1","Sorghum","Exp60_90_IS11374","Exp60_90_IS11374",1
"12","131:03:01","131:03:01","Exp60","WW_R1","Sorghum","Exp60_181_IS21691","Exp60_181_IS21691",1
"13","131:03:02","131:03:02","Exp60","WW_R1","Sorghum","Exp60_302_IS41724","Exp60_302_IS41724",1
"14","131:04:01","131:04:01","Exp60","WW_R1","Sorghum","Exp60_228_IS25207","Exp60_228_IS25207",1
"15","131:04:02","131:04:02","Exp60","WW_R1","Sorghum","Exp60_152_IS19847","Exp60_152_IS19847",1
"16","131:05:01","131:05:01","Exp60","WW_R1","Sorghum","Exp60_204_IS23142","Exp60_204_IS23142",1
"17","131:05:02","131:05:02","Exp60","WW_R1","Sorghum","Exp60_12_IS2263","Exp60_12_IS2263",1
"18","131:06:01","131:06:01","Exp60","WW_R1","Sorghum","Exp60_81_IS10234","Exp60_81_IS10234",1
"19","131:06:02","131:06:02","Exp60","WW_R1","Sorghum","Exp60_255_IS29472","Exp60_255_IS29472",1
"20","131:07:01","131:07:01","Exp60","WW_R1","Sorghum","Exp60_179_IS21425","Exp60_179_IS21425",1
"21","131:07:02","131:07:02","Exp60","WW_R1","Sorghum","Exp60_14_IS2398","Exp60_14_IS2398",1
"22","131:08:01","131:08:01","Exp60","WW_R1","Sorghum","Exp60_243_IS27490","Exp60_243_IS27490",1
"23","131:08:02","131:08:02","Exp60","WW_R1","Sorghum","Exp60_272_IS30443","Exp60_272_IS30443",1
"24","131:09:01","131:09:01","Exp60","WW_R1","Sorghum","Exp60_260_IS29691","Exp60_260_IS29691",1
"25","131:09:02","131:09:02","Exp60","WW_R1","Sorghum","Exp60_77_IS9713","Exp60_77_IS9713",1
"26","132:10:01","132:10:01","Exp60","WW_R1","Sorghum","Exp60_121_IS15443","Exp60_121_IS15443",1
"27","132:10:02","132:10:02","Exp60","WW_R1","Sorghum","Exp60_276_IS30748","Exp60_276_IS30748",1
