unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;Genotype_Trt;;;;10/10/2023 09:56;10/10/2023 14:34;11/10/2023 12:28;11/10/2023 14:28;12/10/2023 10:32;12/10/2023 14:38;13/10/2023 10:02;13/10/2023 14:33;17/10/2023 15:13;18/10/2023 08:30;18/10/2023 14:48;19/10/2023 07:55;19/10/2023 14:38;20/10/2023 10:51;21/10/2023 08:13;21/10/2023 15:21
27:01:01;27:01:01;Exp60;WW_R1;Sorghum;Exp60_133_IS18551;Exp60_133_IS18551;1;Exp60_133_IS18551_WW_R1;10/10/2023 08:39;96027.1;;;;;;;;;;;;;;;;;
27:01:02;27:01:02;Exp60;WW_R1;Sorghum;Exp60_67_IS8347;Exp60_67_IS8347;1;Exp60_67_IS8347_WW_R1;10/10/2023 08:39;64796.8;;;;;;;;;;;;;;;;;
27:02:01;27:02:01;Exp60;WW_R1;Sorghum;Exp60_238_IS26815;Exp60_238_IS26815;1;Exp60_238_IS26815_WW_R1;10/10/2023 08:39;112916;;;;;;;;;;;;;;;;;
27:02:02;27:02:02;Exp60;WW_R1;Sorghum;Exp60_154_IS20016;Exp60_154_IS20016;1;Exp60_154_IS20016_WW_R1;10/10/2023 08:39;79519.9;;;;;;;;;;;;;;;;;
27:03:01;27:03:01;Exp60;WW_R1;Sorghum;Exp60_289_IS32087;Exp60_289_IS32087;1;Exp60_289_IS32087_WW_R1;10/10/2023 08:39;77594.2;;;;;;;;;;;;;;;;;
27:03:02;27:03:02;Exp60;WW_R1;Sorghum;Exp60_266_IS30175;Exp60_266_IS30175;1;Exp60_266_IS30175_WW_R1;10/10/2023 08:39;65597.1;;;;;;;;;;;;;;;;;
27:04:01;27:04:01;Exp60;WW_R1;Sorghum;Exp60_172_IS20763;Exp60_172_IS20763;1;Exp60_172_IS20763_WW_R1;10/10/2023 08:39;105936;;;;;;;;;;;;;;;;;
27:04:02;27:04:02;Exp60;WW_R1;Sorghum;Exp60_246_IS27791;Exp60_246_IS27791;1;Exp60_246_IS27791_WW_R1;10/10/2023 08:39;95495.7;;;;;;;;;;;;;;;;;
27:05:01;27:05:01;Exp60;WW_R1;Sorghum;Exp60_51_IS5867;Exp60_51_IS5867;1;Exp60_51_IS5867_WW_R1;10/10/2023 08:39;79463.8;;;;;;;;;;;;;;;;;
27:05:02;27:05:02;Exp60;WW_R1;Sorghum;Exp60_270_IS30436;Exp60_270_IS30436;1;Exp60_270_IS30436_WW_R1;10/10/2023 08:39;70539.1;;;;;;;;;;;;;;;;;
27:06:01;27:06:01;Exp60;WW_R1;Sorghum;Exp60_22_IS2834;Exp60_22_IS2834;1;Exp60_22_IS2834_WW_R1;10/10/2023 08:39;80178.4;;;;;;;;;;;;;;;;;
27:06:02;27:06:02;Exp60;WW_R1;Sorghum;Exp60_185_IS22040;Exp60_185_IS22040;1;Exp60_185_IS22040_WW_R1;10/10/2023 08:39;74692.3;;;;;;;;;;;;;;;;;
27:07:01;27:07:01;Exp60;WW_R1;Sorghum;Exp60_132_IS17593;Exp60_132_IS17593;1;Exp60_132_IS17593_WW_R1;10/10/2023 08:39;94690.1;;;;;;;;;;;;;;;;;
