"","Date","TS","Temp","RH","VPD","SR","WS"
"1",2023-10-10,"00:00:00",27.75,72,NA,0,0
"2",2023-10-10,"00:15:00",27.56,74,NA,0,0
"3",2023-10-10,"00:30:00",27.45,76,NA,0,0
"4",2023-10-10,"00:45:00",27.38,76,NA,0,0
"5",2023-10-10,"01:00:00",27.2,76,NA,0,0
"6",2023-10-10,"01:15:00",27.08,78,NA,0,0
"7",2023-10-10,"01:30:00",26.76,79,NA,0,0
"8",2023-10-10,"01:45:00",26.61,78,NA,0,0
"9",2023-10-10,"02:00:00",26.46,77,NA,0,0
"10",2023-10-10,"02:15:00",26.38,76,NA,0,0
"11",2023-10-10,"02:30:00",26.27,79,NA,0,0
"12",2023-10-10,"02:45:00",26.32,78,NA,0,0
"13",2023-10-10,"03:00:00",26.17,79,NA,0,0
"14",2023-10-10,"03:15:00",26.03,80,NA,0.224,0
"15",2023-10-10,"03:30:00",26.01,79,NA,0,0
"16",2023-10-10,"03:45:00",26.05,79,NA,0,0
"17",2023-10-10,"04:00:00",26.02,79,NA,0,0
"18",2023-10-10,"04:15:00",25.97,79,NA,0,0
"19",2023-10-10,"04:30:00",25.98,79,NA,0,0
"20",2023-10-10,"04:45:00",25.83,81,NA,0,0
"21",2023-10-10,"05:00:00",25.8,80,NA,0,0
"22",2023-10-10,"05:15:00",25.49,81,NA,0,0
"23",2023-10-10,"05:30:00",25.44,82,NA,0,0
"24",2023-10-10,"05:45:00",25.28,82,NA,0,0
"25",2023-10-10,"06:00:00",25.21,83,NA,0,0
"26",2023-10-10,"06:15:00",25.16,83,NA,0,0
"27",2023-10-10,"06:30:00",25.17,83,NA,0,0
"28",2023-10-10,"06:45:00",25.09,84,NA,0,0
"29",2023-10-10,"07:00:00",24.69,84,NA,0,0
"30",2023-10-10,"07:15:00",24.71,85,NA,0,0
"31",2023-10-10,"07:30:00",24.71,85,NA,0,0
"32",2023-10-10,"07:45:00",24.81,84,NA,6.708,0
"33",2023-10-10,"08:00:00",24.94,85,NA,13.42,0
"34",2023-10-10,"08:15:00",25.08,85,NA,26.83,0
"35",2023-10-10,"08:30:00",25.54,86,NA,40.25,0
"36",2023-10-10,"08:45:00",25.92,85,NA,53.66,0
"37",2023-10-10,"09:00:00",26.38,83,NA,47.39,0
"38",2023-10-10,"09:15:00",27,81,NA,100.6,0
"39",2023-10-10,"09:30:00",27.61,80,NA,120.7,0
"40",2023-10-10,"09:45:00",28.34,78,NA,138.8,0
"41",2023-10-10,"10:00:00",28.93,74,NA,161.2,0
"42",2023-10-10,"10:15:00",29.85,70,NA,185.2,0
"43",2023-10-10,"10:30:00",30.62,65,NA,186.5,0
"44",2023-10-10,"10:45:00",31.21,61,NA,203.5,0
"45",2023-10-10,"11:00:00",31.74,56,NA,233.9,0
"46",2023-10-10,"11:15:00",32.59,54,NA,254.4,0
"47",2023-10-10,"11:30:00",33.27,52,NA,299.9,0
"48",2023-10-10,"11:45:00",33.8,48,NA,294.4,0.238
"49",2023-10-10,"12:00:00",34.53,47,NA,304.3,0
"50",2023-10-10,"12:15:00",35.05,47,NA,298.4,0
"51",2023-10-10,"12:30:00",35.21,45,NA,298.2,0
"52",2023-10-10,"12:45:00",35.71,45,NA,341.7,0.029
"53",2023-10-10,"13:00:00",35.95,43,NA,95.9,0
"54",2023-10-10,"13:15:00",35.64,44,NA,146.8,0.175
"55",2023-10-10,"13:30:00",35.45,44,NA,313.7,0
"56",2023-10-10,"13:45:00",36.46,42,NA,321.4,0
"57",2023-10-10,"14:00:00",36.24,42,NA,212.4,0.791
"58",2023-10-10,"14:15:00",35.85,43,NA,322.3,0.149
"59",2023-10-10,"14:30:00",36.29,42,NA,127.3,0
"60",2023-10-10,"14:45:00",36.46,42,NA,313.7,0
"61",2023-10-10,"15:00:00",36.96,41,NA,120.6,0.002
