"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-09-23","2023-09-24","2023-09-25","2023-09-26","2023-09-27","2023-09-28","2023-09-29","2023-09-30"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,29.2500000000073,-34.0900000000038,23.4649999999965,140.43,13.1329999999944,87.2735000000102,126.856500000002,-56.0645000000004
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,1123.395,-1123.56999999999,510.599999999999,-241.214999999997,-288.183499999999,-400.614999999998,-212.306499999999,163.870500000005
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,3018.69999999999,-131.504999999997,566.440000000002,-3234.28999999999,1243.352,-181.66550000001,542.641000000003,-142.171000000002
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1956.95,75.4200000000055,-1325.26499999999,-460.330000000002,1484.47500000001,-1832.5545,679.918500000007,927.9565
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,1433.39999999999,363.869999999995,-637.974999999991,190.445000000014,1887.87349999999,-274.035000000003,714.770499999999,-2421.50199999999
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,79.4500000000044,-1085.12499999999,-2726.82499999999,1659.065,679.639999999999,-299.370999999999,-939.708999999995,111.125999999989
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,77.9099999999999,-74.0965000000006,99.2874999999999,-23.7004999999995,-9.05500000000029,-5.69050000000016,-64.1370000000002,-67.9145000000003
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,133.149999999994,251.485000000001,360.825000000012,743.120000000003,227.732000000004,-1428.45600000001,-302.175999999992,534.112999999998
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,15579.3099999999,445.545000000013,308.484999999993,-109.885000000002,234.698500000013,-992.068500000001,-393.037500000006,67.7449999999953
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,-390.25,157.529999999999,-41.4000000000015,-1697.325,278.315000000002,-723.495999999999,696.970500000003,-845.041499999992
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,-315.799999999996,-28.2500000000073,-1391.05,91.9550000000017,-789.429500000013,681.441500000001,-11.0935000000027,46.5460000000094
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,28.75,-115.245000000003,21.2650000000067,-37.7900000000081,57.9349999999904,197.099999999999,209.840499999998,-1442.3015
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,1289.35000000001,80.7799999999988,283.514999999996,78.7700000000041,530.91,766.907999999999,1383.2015,138.969000000001
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,766.700000000001,201.710000000006,539.834999999995,604.529999999999,508.373500000002,58.219000000001,382.739000000001,21.2489999999962
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,20357.6299999999,2534.21499999997,2667.39500000002,132.169999999984,363862.393,420388.4085,-49678.069,59032.284
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,20357.6299999999,2534.21499999997,2667.39500000002,132.169999999984,363862.393,420388.4085,-49678.069,59032.284
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,20357.6299999999,2534.21499999997,2667.39500000002,132.169999999984,363862.393,420388.4085,-49678.069,59032.284
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,20357.6299999999,2534.21499999997,2667.39500000002,132.169999999984,363862.393,420388.4085,-49678.069,59032.284
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,60.2999999999956,57.25,611.314999999995,939.755000000005,71.6734999999971,355.052499999998,-3562.378,707.053999999996
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,912.249999999993,27.4000000000015,84.125,717.284999999996,305.325000000004,650.792000000009,1123.772,108.042500000003
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,858.000000000007,234.124999999993,432.875000000007,442.895000000004,512.559999999998,-33.7664999999979,417.337500000009,22.6004999999932
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,745.449999999997,21.2849999999889,-909.440000000002,52.0050000000047,1213.4335,-1342.21400000001,715.854500000001,295.771500000003
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,697.200000000012,90.7999999999956,-619.525000000001,80.2350000000006,1711.1315,172.043499999992,1056.014,-1339.3365
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,645.349999999999,167.095000000001,-2830.725,729.514999999999,401.174999999996,63.6170000000056,-144.979500000001,-116.476500000012
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,170.650000000009,-909.464999999997,-635.909999999989,574.845000000001,-750.949999999997,287.033499999998,144.198500000006,-792.891500000005
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,149.599999999991,50.1549999999988,389.424999999996,964.330000000002,363.316500000001,560.643000000004,-3166.47650000001,556.139999999992
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,20357.6299999999,2534.21499999997,2667.39500000002,132.169999999984,363862.393,420388.4085,-49678.069,59032.284
"44","132:07:02","132:07:02","WW_R1","Exp60_27_IS3121","Exp60_27_IS3121",1,20357.6299999999,2534.21499999997,2667.39500000002,132.169999999984,363862.393,420388.4085,-49678.069,59032.284
"45","132:08:01","132:08:01","WW_R1","Exp60_142_IS18919","Exp60_142_IS18919",1,20357.6299999999,2534.21499999997,2667.39500000002,132.169999999984,453796.8585,420388.4085,-49678.069,59032.284
"46","132:08:02","132:08:02","WW_R1","Exp60_73_IS9468","Exp60_73_IS9468",1,20357.6299999999,2534.21499999997,2667.39500000002,132.169999999984,363862.393,420388.4085,-49678.069,59032.284
"47","132:09:01","132:09:01","WW_R1","Exp60_116_IS14571","Exp60_116_IS14571",1,1529.09999999999,-57.4299999999967,-167.134999999998,389.979999999996,289.834999999995,533.766500000002,76.578000000005,-96.6049999999996
"52","133:11:02","133:11:02","WW_R1","Exp60_196_IS22609","Exp60_196_IS22609",1,178.600000000013,-322.400000000001,-491.924999999996,556.419999999998,-601.373499999994,240.234999999986,70.5659999999989,-664.272999999994
"53","133:12:01","133:12:01","WW_R1","Exp60_214_IS23903","Exp60_214_IS23903",1,279.050000000003,97.3049999999857,337.584999999999,811.974999999999,414.635000000002,-513.90400000001,-2028.19400000001,405.214
"54","133:12:02","133:12:02","WW_R1","Exp60_242_IS27390","Exp60_242_IS27390",1,15648.0099999999,7.1050000000032,446.735000000008,-34.5850000000064,167.843499999995,-816.909999999989,-646.170500000015,11.8074999999953
"55","133:01:01","133:01:01","WW_R1","Exp60_199_IS22986","Exp60_199_IS22986",1,-2232,84.4000000000015,-105.849999999999,-1653.95,382.416499999999,-925.527499999997,800.921500000004,592.859499999999
"56","133:01:02","133:01:02","WW_R1","Exp60_91_IS11758","Exp60_91_IS11758",1,-261.899999999994,216.394999999997,-1161.335,39.6549999999988,273.110000000001,503.987499999988,111.154499999997,-35.9954999999973
"57","133:02:01","133:02:01","WW_R1","Exp60_160_IS20665","Exp60_160_IS20665",1,22.5499999999956,-146.065000000002,-7.04999999999563,-1081.72,-32.7749999999942,-245.103999999999,638.957999999991,-1275.99150000001
"58","133:02:02","133:02:02","WW_R1","Exp60_247_IS27855","Exp60_247_IS27855",1,1088.50000000001,-615.790000000001,103.425000000003,-367.014999999999,381.799999999996,489.32499999999,-666.176500000009,73.7440000000133
"59","133:03:01","133:03:01","WW_R1","Exp60_275_IS30619","Exp60_275_IS30619",1,721.25,311.204999999987,390.159999999996,432.244999999995,450.175000000003,-92.2165000000095,465.563999999998,27.0244999999995
"60","133:03:02","133:03:02","WW_R1","Exp60_226_IS24953","Exp60_226_IS24953",1,423.899999999994,69.3800000000047,-939.785000000003,-13.4449999999997,1255.257,-1143.56549999999,561.065999999992,222.048999999992
"61","133:04:01","133:04:01","WW_R1","Exp60_299_IS33353","Exp60_299_IS33353",1,200.75,425.279999999992,-98.2899999999936,55.5049999999974,1175.86500000001,308.691499999994,703.966,422.330000000002
"62","133:04:02","133:04:02","WW_R1","Exp60_169_IS20743","Exp60_169_IS20743",1,810.699999999997,398.839999999997,-4425.86500000001,513.805,306.293500000007,202.623499999994,323.3485,-664.835999999996
"63","133:05:01","133:05:01","WW_R1","Exp60_262_IS29872","Exp60_262_IS29872",1,160.05000000001,256.419999999998,-1003.61,614.164999999994,-989.026499999993,668.231999999989,133.023500000018,-756.768500000013
"64","133:05:02","133:05:02","WW_R1","Exp60_206_IS23178","Exp60_206_IS23178",1,218.800000000003,29.5849999999919,208.235000000001,780.174999999988,518.760000000002,463.546000000002,-2884.93750000001,469.218000000001
"65","133:06:01","133:06:01","WW_R1","Exp60_70_IS8882","Exp60_70_IS8882",1,233.784999999996,34.3550000000032,723.715000000004,-29.8950000000041,191.709999999999,-1042.1165,-355.126500000013,-211.355499999998
"66","133:06:02","133:06:02","WW_R1","Exp60_107_IS14298","Exp60_107_IS14298",1,-1333.9,-17.7750000000015,56.9749999999985,-1165.135,236.584999999999,348.691499999994,689.931500000006,583.331999999988
"67","133:07:01","133:07:01","WW_R1","Exp60_110_IS14351","Exp60_110_IS14351",1,1878.56000000001,746.205000000002,-2031.425,-205.429999999993,82.2734999999957,492.606499999994,-566.225000000006,1234.7665
"68","133:07:02","133:07:02","WW_R1","Exp60_13_IS2367","Exp60_13_IS2367",1,60.1000000000131,-32.2850000000035,-15.8249999999971,-844.400000000001,292.064999999995,-1.95400000001246,551.764000000003,-1136.7365
"69","133:08:01","133:08:01","WW_R1","Exp60_161_IS20681","Exp60_161_IS20681",1,154.099999999999,-948.509999999995,107.939999999995,365.065000000002,-728.631999999998,858.236000000004,-1023.36400000001,47.1809999999969
"70","133:08:02","133:08:02","WW_R1","Exp60_264_IS29911","Exp60_264_IS29911",1,-1534.3,433.05999999999,331.940000000002,371.870000000003,74.6600000000035,-117.282999999996,471.5985,21.1524999999892
