"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-09-23","2023-09-24","2023-09-25","2023-09-26","2023-09-27","2023-09-28","2023-09-29","2023-09-30"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,-6.79358952837637,-1.86278673204488,-7.02055994203312,0.27584637926328,0.420707975697423,-3.62000250797132,-8.01765120951682,2.27313630312514
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,1.10931896305814,-1.43280604578043,-0.371998967504005,0.312256122218756,-1.32304452735068,1.46760360149395,-0.601592097026722,4.72882890047101
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,0.246579949429095,0.114380393514257,0.210208462229306,-0.461176223326223,0.247310524003074,-0.33836061481431,0.299876136656518,0.316109237117252
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,0.779197593222269,0.127822631295123,-1.16004442040724,0.0138471107953934,0.625200832687789,-0.134658534213118,-0.405189604738505,0.174241619020319
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,0.615228391925181,0.0822409208800181,-0.379002027295625,0.375168205236178,0.733624677277133,-0.305392044681971,0.510594248191572,-3.49237765287926
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,-0.0850646689530226,-0.401827568490089,-3.54248310826363,0.166645552448709,-0.0698463432844384,-0.243025265073305,-2.06764419070517,0.809696854833171
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,0.621376600701786,0.165546480064651,1.25219536271769,-0.149599155500783,0.00603371963645705,-0.0420970493012851,-0.454753837078973,0.0923903088847233
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,-1.94472572939127,0.518662177533282,0.193036427862853,0.0249320259467707,-0.948738033278772,-5.27218276342715,-3.25155599646291,1.10250589564525
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,-0.166443690239378,1.21741341619661,5.40759123554254,-0.542397170027819,0.811339578872569,-0.102997646777524,-1.05922880307989,-0.397691983130556
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,-0.903259760690727,-0.286093760681523,-1.3604869762184,-0.855615043942832,1.22179894887613,0.116008424453984,1.37158242573114,-3.79281506191863
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,-0.0202084581996103,-1.36658233298181,-0.513550015492902,-3.81872916027222,2.21209774831457,1.42582568786568,0.420300348462483,0.695368166101065
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,-0.951899288218791,-2.05993211445794,-0.599788915916363,0.227994797046515,0.588092146462363,-0.329123199922929,-0.605688245734901,-0.217833765675072
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,0.963561421267269,0.500340691122857,-0.355353614208303,-0.298510301989347,-0.104408727683658,0.712224640163431,2.32197342825964,5.58231405584544
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,0.0771151345924491,1.55478349030591,-0.178554691404505,0.334760569261523,-0.25743575634947,-0.668117246929097,0.369710358733975,0.615200620267139
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,0.415781781747274,0.64390622218185,0.909916716139931,-1.72506073888108,0.0557626968917897,0.662417337194856,-0.589179797686924,3.20170496797078
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,0.415781781747274,0.64390622218185,0.909916716139931,-1.72506073888108,0.0557626968917897,0.662417337194856,-0.589179797686924,3.20170496797078
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,0.415781781747274,0.64390622218185,0.909916716139931,-1.72506073888108,0.0557626968917897,0.662417337194856,-0.589179797686924,3.20170496797078
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,0.415781781747274,0.64390622218185,0.909916716139931,-1.72506073888108,0.0557626968917897,0.662417337194856,-0.589179797686924,3.20170496797078
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,-3.24707798033484,0.20470835414956,0.971809362109517,0.0329147465903796,-2.86435853022093,0.236915787002645,-1.24776022428041,1.30296458892091
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,1.07253196719594,-0.520059966956281,-0.472026554395866,1.58421650595706,-0.0473795834402093,1.10027392405524,2.15152694838796,5.65663233664188
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,0.100625727897408,1.52118088851573,-0.587513619064525,1.74300356037356,-0.362923154379934,-0.747797971992265,0.394936711154474,1.1687786982335
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,3.85486091988696,0.219117272526534,-1.2972803216393,1.15479200854642,1.07503139309552,-0.169176685126064,0.581690894105381,2.80927575231751
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,1.04152952978,0.968460712071917,-0.265043258805689,-2.25551274527723,0.521403665472651,1.3304534826515,3.12195509517086,-3.52550615091046
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,3.28861908326619,1.65404179816937,-2.58204938660906,0.395059709124869,0.937861344518752,2.52318731542154,-1.60998344226655,-0.872836194333266
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,3.80630956618595,-0.000568467505098036,-0.111522138037742,0.399933516932188,-0.0606748061745695,3.65647931459751,3.39551799576871,-0.625178804512524
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,-2.02562492075738,0.29254956762934,-0.305813367049339,0.120347776878803,-0.576178173759957,3.79759382098701,-1.10712591471519,2.10853238965513
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,-0.162730461529462,0.64390622218185,0.909916716139931,-1.72506073888108,0.0557626968917897,0.662417337194856,-0.589179797686924,3.20170496797078
"44","132:07:02","132:07:02","WW_R1","Exp60_27_IS3121","Exp60_27_IS3121",1,0.415781781747274,0.64390622218185,0.909916716139931,-1.72506073888108,0.0557626968917897,0.662417337194856,-0.589179797686924,3.20170496797078
"45","132:08:01","132:08:01","WW_R1","Exp60_142_IS18919","Exp60_142_IS18919",1,0.415781781747274,0.64390622218185,0.909916716139931,-1.72506073888108,0.12112256043488,0.662417337194856,-0.589179797686924,3.20170496797078
"46","132:08:02","132:08:02","WW_R1","Exp60_73_IS9468","Exp60_73_IS9468",1,0.415781781747274,0.64390622218185,0.909916716139931,-1.72506073888108,0.0557626968917897,0.662417337194856,-0.589179797686924,3.20170496797078
"47","132:09:01","132:09:01","WW_R1","Exp60_116_IS14571","Exp60_116_IS14571",1,1.36002022638749,0.370191867406598,-0.998210601410179,0.017026030915698,-0.488645671503645,-0.0509057172657745,-0.427058445519253,1.4691099481231
"52","133:11:02","133:11:02","WW_R1","Exp60_196_IS22609","Exp60_196_IS22609",1,4.96315889509244,1.76524261138976,-0.257749248711273,0.398200556044921,-0.0258674386792193,3.27643630245641,5.60189005293724,-0.595423081404834
"53","133:12:01","133:12:01","WW_R1","Exp60_214_IS23903","Exp60_214_IS23903",1,0.154324871750853,0.493226564826001,-0.429058955329744,0.177308568238707,0.0203025793184326,1.07769163346619,-0.740614462812073,1.58008025077384
"54","133:12:02","133:12:02","WW_R1","Exp60_242_IS27390","Exp60_242_IS27390",1,-0.0277589081815792,-1.38794666228863,1.79056668996555,-0.456969140027022,0.120856648084443,0.106452414157609,-1.20791766482973,-0.676330248753193
"55","133:01:01","133:01:01","WW_R1","Exp60_199_IS22986","Exp60_199_IS22986",1,-0.5834518019472,-0.476594425537551,-0.873006853857124,-1.05815398241773,-1.10674313698979,0.128758571554276,1.5810251242715,-0.100861751202186
"56","133:01:02","133:01:02","WW_R1","Exp60_91_IS11758","Exp60_91_IS11758",1,-0.00460477028820067,1.71546838834135,-0.270031584443918,-1.82306040418601,0.334073696356614,1.61549235401238,6.39925564749227,-0.753555059780493
"57","133:02:01","133:02:01","WW_R1","Exp60_160_IS20665","Exp60_160_IS20665",1,-0.853448038192238,-2.72420900381133,-0.500627184035362,-2.19229129886325,0.364010623605649,-0.273518499251618,0.160293892330555,-0.337553935626883
