"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-09-23","2023-09-24","2023-09-25","2023-09-26","2023-09-27","2023-09-28","2023-09-29","2023-09-30"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,279.199999999997,279.199999999997,279.199999999997,279.199999999997,279.199999999997,279.199999999997,279.199999999997,279.199999999997
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,1218.7,1218.7,1218.7,1218.7,1218.7,1218.7,1218.7,1218.7
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,1011.2,1011.2,1011.2,1011.2,1011.2,1011.2,1011.2,1011.2
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1260.60000000001,1260.60000000001,1260.60000000001,1260.60000000001,1260.60000000001,1260.60000000001,1260.60000000001,1260.60000000001
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,892.300000000003,892.300000000003,892.300000000003,892.300000000003,892.300000000003,892.300000000003,892.300000000003,892.300000000003
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,2975.7,2975.7,2975.7,2975.7,2975.7,2975.7,2975.7,2975.7
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,111.51,111.51,111.51,111.51,111.51,111.51,111.51,111.51
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,349.399999999994,349.399999999994,349.399999999994,349.399999999994,349.399999999994,349.399999999994,349.399999999994,349.399999999994
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,463454.03,463454.03,463454.03,463454.03,463454.03,463454.03,463454.03,463454.03
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,451.800000000003,451.800000000003,451.800000000003,451.800000000003,451.800000000003,451.800000000003,451.800000000003,451.800000000003
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,626.5,626.5,626.5,626.5,626.5,626.5,626.5,626.5
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,365.799999999988,365.799999999988,365.799999999988,365.799999999988,365.799999999988,365.799999999988,365.799999999988,365.799999999988
