"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,345.29788800978,0.399018969588981,0.624776127587441,0.0444351651103523,0.0325450632805385,-7.31586383757818,801.244855022425,337.161963819433,1.49337133850518,0.420797664666436,604.219689157335,4.55673858925999,0.754101178147876,197.02516586509,0.872823942861797
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,37850.064823456,1626.9995444233,284.898631311877,133.790255503568,1861.53055653234,6.86585861923123,-225742.359790156,-265183.62223329,5859.17950499866,1.17471803909464,-501233.150344004,8247.33172868666,2.220377029858,275490.790553847,-0.714937891820314
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,1094.39667000496,19.870563030733,19.870563030733,-1.39047032635616,73.8408142164554,2.91537902812611,-40633.3472168557,-11741.1265404584,510.429953819108,0.288952974457095,-33766.6413657366,732.546451389865,0.831008117188273,-6866.70585111908,-0.655734418171077
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1859.41735231408,2.69113544172895,2.69113544172895,7.41107552902851,17.4497365436405,-0.231473185836232,18698.3316208362,4141.89051383139,81.9339954002189,0.22151123414754,8424.71878394282,148.002772033766,0.450559919183104,10273.6128368934,0.394025883218318
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,2488.21583899553,39.2138924261066,64.9808709406631,10.287223533754,-150.667288319827,-4.586871419713,74287.8707930912,20022.7796334219,568.776717900949,0.269529593723179,59346.3231204878,882.631207948494,0.798869620126562,14941.5476726033,0.695673596201473
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,1596.42990106664,0.950511017549531,3.10114720823421,4.57028701621508,10.0628756611346,-3.6251874984599,12728.657946324,4036.7976407927,50.8819160331078,0.317142440139066,7301.96551886163,97.8282633994477,0.573663425449376,5426.69242746234,0.597425651785717
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,239.574049764536,0.0468699907115529,0,0.264033335862787,-0.0131499841993175,-1.77353058424139,1395.13179046671,313.314248057978,6.53144318818103,0.224576810734966,663.928189094413,11.2273538217411,0.475889226832333,731.203601372301,0.370680151258557
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,65.4482270350821,0.122431249400857,0.232170596544912,0.00522372618328562,-0.233468405705022,-7.9914816886449,164.723781590278,107.322137208038,0.531553168158052,0.651527886088624,173.435491082176,1.86974285541144,1.05288677450088,-8.71170949189806,0.862358182242072
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,86.6348116454531,0.132017608744347,0,0.217512431743414,-0.185684033807157,-1.06428976242416,434.299852349282,57.1777596542985,2.25157901416643,0.13165502899668,169.253574970818,4.07387548448497,0.389715939471924,265.046277378464,0.188711798329766
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,55.3900550412936,0.199907858497725,0.273177095742643,0.824306122281961,0.0315709173674077,-5.96867665431869,1059.43578328372,339.154750093198,4.91518675343345,0.320127708960317,685.805282837481,9.65360102577588,0.647330677006043,373.630500446243,0.546177128248271
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,49.1233921951925,0.41640148806797,1.79983067575761,0.586290640581008,2.76962584030499,-3.50696225389764,-5475.88620012366,112.149342904732,43.9087157671329,-0.0204805831980584,-1866.94678925428,92.7126389742137,0.340939661823527,-3608.93941086938,-0.187073599560936
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,1919.84594187331,0.241543343554728,0.547414043264214,0.0975033013793805,0.381159652337385,-5.70729521068266,608.437177152599,287.252122385519,3.28632810778113,0.472114678675321,480.835818038399,5.96580944857014,0.79028014081691,127.6013591142,0.77164108565382
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,156693.776588983,0.794192755258388,0,1.26224845158399,-0.00492922404695716,-0.93448170685949,909.539969571097,23.6272398575473,4.553560718985,0.0259771320095905,298.907603730191,10.8046147681474,0.328636028904968,610.632365840906,0.0593133570864509
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,55.0385131969281,0,0,-0.77453236012539,-0.126024752102289,-1.83042359843744,804.282579634721,326.330716026296,2.92807932712269,0.405741370370728,507.104253750717,6.5154540313391,0.630505081909181,297.178325884004,0.75396008104593
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,31283.8574836916,532.761273414925,595.580845301242,1316.27063078073,-497.87983512481,-5.52214318268984,664268.883932941,185585.302781694,10096.461169997,0.279382803064472,516572.65508902,13623.74820567,0.77765595767567,147696.228843921,0.259661739598468
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,31283.8574836916,532.761273414925,595.580845301242,1316.27063078073,-497.87983512481,-5.52214318268984,664268.883932941,185585.302781694,10096.461169997,0.279382803064472,516572.65508902,13623.74820567,0.77765595767567,147696.228843921,0.259661739598468
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,31283.8574836916,532.761273414925,595.580845301242,1316.27063078073,-497.87983512481,-5.52214318268984,664268.883932941,185585.302781694,10096.461169997,0.279382803064472,516572.65508902,13623.74820567,0.77765595767567,147696.228843921,0.259661739598468
