"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-09-23","2023-09-24","2023-09-25","2023-09-26","2023-09-27","2023-09-28","2023-09-29","2023-09-30"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,318.578236012923,164.607781146485,184.58934774359,280.120353094085,8087.4682523233,341.448115894154,178.821317980392,-82.5180626971473
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,267043.460100231,-3672.71560619933,839.388373407018,45.8905222694804,890.997919162459,-751.972935526481,-68.6875081167993,551.853960819569
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,24858.8146089667,1519.28794160743,615.575110477195,1933.13763098413,26363.0756584513,7.69447001261647,-5019.63772362996,1063.16243344131
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,2424.69418495269,3397.47025153614,-7617.12256213309,8000.67003526968,-2701.99182168282,3395.90280111505,-100.042675891306,585.921363482743
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,1682.95568602012,-6080.65700892198,-2573.79960146838,4541.39504316094,-260.897970898565,16.6180508323048,845.839608549464,1452.92954885066
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,2218.84692673911,2135.54137674884,4598.71274374612,2268.67286556002,820.813582421715,436.754843707418,49.7495719460598,431.888742933238
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,185.22072790241,605.801500418512,55.6366377133802,601.523099888578,622.435671100994,15.2665036969145,-5.61472878054137,1053.23045395612
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,115.921495604136,82.1093373575375,122.261390514786,512.894043852704,164.707364068947,6.42976094691467,-15.4411379266112,-3.3343244270829
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,73490.9900237452,37.8764807904801,-10.1199064463559,523.610837012551,8.49579003534421,-16.2675000579366,-6.51241897648907,392.862520447519
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,-13.9064778846558,479.536593418857,181.316773743677,502.994160607409,60.1901710785447,-28.3173636085497,-5.0541372214411,404.723052509526
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,208.738703949682,8641.77214123246,266.601322128053,-20.103016445365,862.010692829891,-29.2307915197443,-13.4719156849396,170.371657057517
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,326.693814169963,196.304932414457,20346.1437761571,315.933816460486,261.211991195947,206.518493681493,116.862388835925,248.114426283314
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,-33.1845633203527,220.813296085139,220.144433400526,27.5581721913467,83.6524388133423,74.3890340049309,13.8849926340728,3.6682084300441
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,187.389281630376,18.4393875882617,126.311465418388,519.021740496566,21.402643580706,23.9167201852902,-16.6331034311069,9.47744614166
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,3523.49815997576,9144.27585369023,1500.1455924551,28689.6861847447,-2519075.51791231,1627608.1076314,2026.00158463735,1396.084079211
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,3523.49815997576,9144.27585369023,1500.1455924551,28689.6861847447,-2519075.51791231,1627608.1076314,2026.00158463735,1396.084079211
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,3523.49815997576,9144.27585369023,1500.1455924551,28689.6861847447,-2519075.51791231,1627608.1076314,2026.00158463735,1396.084079211
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,3523.49815997576,9144.27585369023,1500.1455924551,28689.6861847447,-2519075.51791231,1627608.1076314,2026.00158463735,1396.084079211
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,157.278120290504,2104.83200261758,847.450128271822,3569.00904657053,231.690235593609,236.484924697075,67.5022276811818,-20.3076982995192
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,-2.13890738526693,279.644247000434,162.412277375463,57.0089028597493,44.4858979290779,36.3875716073481,1.11812517439215,3.99742489855239
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,142.299546082053,20.5844166411135,121.540121461593,247.586337482964,37.485931016349,37.5949752841019,-8.3089224620654,8.27392119791394
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,253.565692847402,30.8703240560374,69.42394874949,275.94769254292,-25.1870180980164,84.108078064859,-16.7623536902963,53.5673737325285
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,42.8170734162934,-929.495124722317,-480.846267086674,13864.4705704442,1419.22628418881,-3090.54787798369,-53.9269139268626,-598.033952221304
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,22.3633993394011,45.3534149925807,56.2193658402455,13.0011551697003,-13.6583103811108,-0.489155517475003,-5.93382654035638,9.31346811702512
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,10.7836138831261,2580.70193635487,92.8497418215528,258.501058707112,-1.77777801843868,14.3768344297304,-0.843474573895455,11.0440233113457
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,106.555213882868,485.353518916711,187.756005610202,680.989518480754,130.709091238383,-17.5054264161798,79.19228310822,-11.0764479913005
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,521260.234510462,9144.27585369022,1500.1455924551,28689.6861847447,-2519075.51791231,1627608.1076314,2026.00158463735,1396.084079211
"44","132:07:02","132:07:02","WW_R1","Exp60_27_IS3121","Exp60_27_IS3121",1,3523.49815997576,9144.27585369023,1500.1455924551,28689.6861847447,-2519075.51791231,1627608.1076314,2026.00158463735,1396.084079211
"45","132:08:01","132:08:01","WW_R1","Exp60_142_IS18919","Exp60_142_IS18919",1,3523.49815997576,9144.27585369023,1500.1455924551,28679.3773054437,-119159.482192619,1627608.10762283,2026.00158463735,1396.084079211
"46","132:08:02","132:08:02","WW_R1","Exp60_73_IS9468","Exp60_73_IS9468",1,3523.49815997576,9144.27585369023,1500.1455924551,28689.6861847447,-2519075.51791231,1627608.1076314,2026.00158463735,1396.084079211
"47","132:09:01","132:09:01","WW_R1","Exp60_116_IS14571","Exp60_116_IS14571",1,118.91158790215,273.285381822295,-3589.11743790958,-322.222404381721,-287.30610111386,-260.296966896086,-262.694801148063,33795.2853302459
"52","133:11:02","133:11:02","WW_R1","Exp60_196_IS22609","Exp60_196_IS22609",1,-1.54296364429886,1570.5881517067,73.9178495529917,432.685837776649,-483.210059896446,-1.90557460769144,-0.925775174572194,-0.427959455432217
"53","133:12:01","133:12:01","WW_R1","Exp60_214_IS23903","Exp60_214_IS23903",1,673.70390864054,448.037560030444,232.26588723589,650.675729657856,77.1621168346573,-4.42601902088991,33.4394164845593,497.340951738151
"54","133:12:02","133:12:02","WW_R1","Exp60_242_IS27390","Exp60_242_IS27390",1,115936.798792529,63.9631660385673,-0.517671863783134,452.834015889901,-118.397206121252,-36.0334927449037,4.28192080105652,296.609133010211
"55","133:01:01","133:01:01","WW_R1","Exp60_199_IS22986","Exp60_199_IS22986",1,849.408631317506,10046.6120738753,-826.693478143132,871.762027983975,81.7982674020343,-23977.2325809504,1.60388133818371,155.251925454163
"56","133:01:02","133:01:02","WW_R1","Exp60_91_IS11758","Exp60_91_IS11758",1,3.52215833477522,171.05354845001,94.5535784345325,206.783047454537,48.8999451458535,-12.9289445990692,-0.758815209498362,81.9890765606739
"57","133:02:01","133:02:01","WW_R1","Exp60_160_IS20665","Exp60_160_IS20665",1,324.340399728109,314.366460235977,-343.207279131445,293.346844190642,63.3667953396572,147.643907121827,-56.608143753699,195.431053577669
"58","133:02:02","133:02:02","WW_R1","Exp60_247_IS27855","Exp60_247_IS27855",1,54.1806504296217,228.678948170226,211.5226897136,27.0436129168179,42.5559744404668,25.9596666076337,-19.8686811289266,9.31915024809788
"59","133:03:01","133:03:01","WW_R1","Exp60_275_IS30619","Exp60_275_IS30619",1,233.783207672967,18.0229747776222,215.892296050134,425.202419620741,69.950010661807,41.0111162847222,-18.6013041392689,7.05209564803634
"60","133:03:02","133:03:02","WW_R1","Exp60_226_IS24953","Exp60_226_IS24953",1,28.0180167429078,7.44775890167916,122.096608442328,614.898952358652,-98.2355042673443,-1626.32557752155,16.4252499968646,36.7627255096987
"61","133:04:01","133:04:01","WW_R1","Exp60_299_IS33353","Exp60_299_IS33353",1,239.261992990798,97.6005883109423,-14.3567679310664,351.831274357559,109.566690509793,-4.57606377007555,-2.19312133439189,-1.60229386241303
"62","133:04:02","133:04:02","WW_R1","Exp60_169_IS20743","Exp60_169_IS20743",1,10.4907403741383,49.8294607207688,324.116328649368,40.9670258167489,-8.30264565657503,-0.717945477189067,-3.9422912668421,9.59404891091545
"63","133:05:01","133:05:01","WW_R1","Exp60_262_IS29872","Exp60_262_IS29872",1,7.431574799485,184.410213157497,167.519195094931,390.232761033271,-2.21991895007053,-6.17019621039269,-1.34223034451763,-6.17760133659852
"64","133:05:02","133:05:02","WW_R1","Exp60_206_IS23178","Exp60_206_IS23178",1,91.7051997760239,575.343423372991,138.402521367134,825.756914459616,48.0863025702158,-4.23349950476839,-14.7818310140943,-11.1069400262354
"65","133:06:01","133:06:01","WW_R1","Exp60_70_IS8882","Exp60_70_IS8882",1,349.836285964988,12.0264895246186,-45.7674951072146,598.572204073079,-1.40595897469278,-10.5057950121869,-38.1582299892535,436.535601666328
"66","133:06:02","133:06:02","WW_R1","Exp60_107_IS14298","Exp60_107_IS14298",1,-27.1438627245345,435.930307737381,175.442964968731,660.484185097377,52.6460285544159,42.5493507049849,-10.8916820227117,116.302215639443
"67","133:07:01","133:07:01","WW_R1","Exp60_110_IS14351","Exp60_110_IS14351",1,-8234.1261429582,10233.221425424,79820.9194144686,2185.30471703633,137.24950618292,1.10330872594619,-2554.97293213728,4802.38235536576
"68","133:07:02","133:07:02","WW_R1","Exp60_13_IS2367","Exp60_13_IS2367",1,188.343254876629,216.220981859806,64.0341790741102,199.050898670874,61.417137731748,34.7977037170082,-20.0532095380646,92.4033565329434
"69","133:08:01","133:08:01","WW_R1","Exp60_161_IS20681","Exp60_161_IS20681",1,121.247689255561,154.835202744984,170.687646332605,71.6186836810984,43.2915516745802,-2.83668984044647,108.010589659328,25.0499317051991
"70","133:08:02","133:08:02","WW_R1","Exp60_264_IS29911","Exp60_264_IS29911",1,232.112367072426,11.4336571875181,157.634950536081,371.314417949581,150.343456513036,80.8263588678594,-93.3403426329588,0.710681779839197
"71","133:09:01","133:09:01","WW_R1","Exp60_45_IS4776","Exp60_45_IS4776",1,40.2589649789154,62.0674848713785,33.0669893514611,351.339843440826,-26.370161881926,-58.7700572968095,4153.06462769589,167.5059682698
"72","133:09:02","133:09:02","WW_R1","Exp60_61_Phule Chitra","Exp60_61_Phule Chitra",1,5176.58041111418,15067.3566374206,141360.827842877,7742.83391618575,3907.35302180239,76189.8265608745,-202.717624759961,1080.48553768277
"73","134:10:01","134:10:01","WW_R2","Exp60_135_IS18800","Exp60_135_IS18800",2,-10.337282142563,22.0766804801362,87.2336178225275,38.9433694300735,-2.88758480594522,-7.19197271543016,-7.42053080753273,1.43847541506058
"74","134:10:02","134:10:02","WW_R2","Exp60_178_IS21401","Exp60_178_IS21401",2,1.63567741568162,255.330545943942,144.637141379748,429.308668936948,6.76948486828153,-7.8476955647214,-6.46042364998255,-667.467087396367
"75","134:11:01","134:11:01","WW_R2","Exp60_306_SSM1057","Exp60_306_SSM1057",2,111.450273766357,660.599397761277,144.62773784126,738.890976413346,63.5524618929655,-23.3724487128174,-6.07615382852128,-5.20433285731467
"76","134:11:02","134:11:02","WW_R2","Exp60_232_IS25702","Exp60_232_IS25702",2,-8700.11072222561,28.2477716395742,-7.06152657384321,268.404114840032,5.69216144139922,-1.09161764233329,20.350400185678,578.998269586061
"77","134:12:01","134:12:01","WW_R2","Exp60_201_IS23048","Exp60_201_IS23048",2,-24.6794570618823,434.229021975863,116.360671343205,492.55712471306,75.1331911636397,424.546304930553,-15.6583326873107,-268.931107279057
"78","134:12:02","134:12:02","WW_R2","Exp60_57_IS6413","Exp60_57_IS6413",2,-82.2903186492688,272.472552429329,270.628303127931,663.290782356888,95.3327264536489,-13.5165567162365,-5.03606360702579,309.560925424618
"79","134:01:01","134:01:01","WW_R1","Exp60_111_IS14414","Exp60_111_IS14414",1,147.334305981514,228.998128995918,-50.5311324489569,194.495505434479,28.2367743823693,4.89775345258237,-29.7021068218439,92.1205336884948
