"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-09-23","2023-09-24","2023-09-25","2023-09-26","2023-09-27","2023-09-28","2023-09-29","2023-09-30"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,108.499614287053,19.2082462649975,50.6385767698279,123.464012654198,-191.542292578149,16.460734692797,82.0867632845946,2359.19592048021
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,128080.359794278,14046.3063962215,11654.7963347355,10957.0991984554,10391.3983859406,11499.8162976964,4622.53618294296,367.370196950223
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,9481.84264644686,3591.13377945344,7201.58532965846,18579.3253954409,4525.75640963035,8030.63716661396,-4317.47922820433,4255.75435036201
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,6756.61343561287,2759.22758697287,7290.97383844753,23604.7513841864,2971.77850117342,6174.10123530967,6998.55031649799,6082.97793215507
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,12724.1130012954,-25921.9951302622,5485.13129487133,6937.09646791468,33531.7028084216,22398.9130701895,6618.83258996666,-305452.242011162
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,10545.7715309148,37328.2175477681,63072.1353063788,4525.51397876056,13965.3722770565,7823.87932050484,6201.06519358274,-1621.63948755209
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,919.558408044631,180.666669573377,1282.70530263797,1010.76736076972,668.902531165403,940.621757152341,576.648851103882,634.482021608499
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,161.760109993977,269.955645717393,416.648658108709,732.569112231455,312.672307080513,-14.7910164693244,293.806587447104,412.197248004165
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,161914.519880393,-18576.8097301681,503.084208900747,98.9894683109065,217.755426098249,442.87214161247,594.057093266771,130.893283714192
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,1357.95363501249,48.6838752674162,206.352973571449,148.64424527109,235.853839374737,667.474793995255,554.018186086423,244.356225290409
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,4845.92683862771,30781.0387313324,-1534.45184405834,464.788568462799,-1960.99297806355,516.583177379268,647.500064435998,504.353560299815
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,44.6286257022223,5.25053639086201,-1516.59507196809,5950.96252970213,511.388087250986,263.692863026828,128.076530477895,1964.18626589673
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,1017.3703637379,211.088561764381,349.277610275604,1000.56648975406,768.713320802315,698.886286609901,1204.99325407732,185.440834414119
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,1016.56719104592,179.764336647481,486.220648422326,613.784132771679,429.700941814713,221.296506732378,429.547436551043,37.1476774050717
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,30859.2398286896,66049.1005627752,8369.01476348759,-142677.145976537,3598253.94726973,3400010.93128801,-66014.0338624174,78717.3843258547
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,30859.2398286896,66049.1005627752,8369.01476348759,-142677.145976537,3598253.94726973,3400010.93128801,-66014.0338624174,78717.3843258547
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,30859.2398286896,66049.1005627752,8369.01476348759,-142677.145976537,3598253.94726973,3400010.93128801,-66014.0338624174,78717.3843258547
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,30859.2398286896,66049.1005627752,8369.01476348759,-142677.145976537,3598253.94726973,3400010.93128801,-66014.0338624174,78717.3843258547
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,193.894777568619,249.432718346989,1639.23402465824,4971.3810093901,1305.09041017388,3753.25386273724,807.530305860305,477.139476501596
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,562.668934227408,103.837786888313,211.181872048275,587.635031409803,456.319261630128,764.010260997034,1216.24644827659,141.553982663835
