"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-09-23","2023-09-24","2023-09-25","2023-09-26","2023-09-27","2023-09-28","2023-09-29","2023-09-30"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,0.869039538657271,0.858779885772148,0.760356694507895,0.889186688712565,0.935675387563721,0.833541784439559,0.743650020422076,-0.0596568449986245
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,0.843344171634917,-0.237325365293432,0.0419733562207691,-0.0208250424230985,0.134771899779869,0.129653672400268,0.00755706296307812,0.791363833795
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,0.7666871353999,0.274381417223259,0.156772313211361,0.284925732841365,0.888748600524366,0.102232545096899,-0.193861969596425,0.262657652472314
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,0.578016766464428,0.704383384512014,-0.660986377535714,0.4666585760848,-0.462216857695967,0.569954412152773,0.106234759778136,0.128898656470201
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,0.295405662931802,-0.147082827143814,-0.313073182061415,0.358514185356065,0.00713888349796869,0.0244138637845811,0.378994334211546,0.00513078302683735
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,0.412265872948492,0.0225795455734434,0.0660556793963103,0.110724598261631,0.16173829329455,0.111453232176431,0.0641481926649731,0.0858591375197898
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,0.454365092074671,0.877642795901016,0.059721749885076,0.494757855665275,0.75874292585358,0.208982546307031,0.00738858562535957,0.80109912378248
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,0.725254368312077,0.28101012954412,0.387952009695962,0.440770728108319,0.529527226812936,0.486011282936356,-0.0441134837842923,0.0811068309806902
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,0.523121351189066,0.00130811046574349,-0.0019133128986182,0.798807595928687,0.193103677143686,-0.0317870341638957,0.0212576214508724,0.504598540542656
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,0.0914977870133468,0.889282775190676,0.53328952844228,0.600031535567367,0.283972697153549,-0.00629125847993965,0.142685715668304,0.739198039190693
