"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-09-23","2023-09-24","2023-09-25","2023-09-26","2023-09-27","2023-09-28","2023-09-29","2023-09-30"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,-8.33568457245322,-7.77855881251145,-8.51128596972865,-7.00058065056236,-6.83073132674902,-8.79245430265871,-8.60382904651734,0.181955448664207
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,-6.87549213947795,5.04308507560862,6.08953025738884,6.91865084540855,6.82157057786684,4.73790573332006,6.49945364928854,-3.397363577984
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,-8.31537414025864,3.68915669253049,4.13385679346147,2.38439834780423,-7.81747028536875,6.67168546862859,5.49266771140015,6.05278056277892
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,3.51144372526858,0.270939198019073,7.21913320061078,-0.637291154328018,6.43695423660732,-5.54206442145101,8.13533868884746,7.65331876845685
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,5.68299984047258,3.37664265926259,8.16980432875447,-3.97150121265926,6.27565885176904,6.7160560054908,5.15791707105145,-5.91561726578696
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,6.31457329341214,5.97703150551901,5.42212851745526,1.48170292968539,5.50864646539305,8.2143945954435,8.5026680836489,2.36223684494284
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,1.45020253906088,-5.36238954721767,6.26108696508979,-2.0020145204776,-8.45152271026175,4.63985161457604,9.45427355975394,-4.57397902235752
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,-7.22872929881343,-1.81752786101735,2.86886017582105,-3.97339292831399,-4.00513141859812,-3.90005123762961,2.37571829898421,5.67926900345864
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,-1.26986289771682,-5.15033216452923,9.17599728931842,-5.34418092590045,3.91052221527487,6.14367296329532,6.15156891449529,-5.4766308430062
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,8.04430812128411,-5.38101446833514,-5.28447240347519,-5.26135849466234,-1.15321037742872,2.4680994558239,7.38581494451124,-4.23993722435335
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,5.74874312098571,0.0312719828168713,-0.641349695591408,0.208848757025243,0.0431623183828513,5.15505449049566,7.53224012697905,3.90914633023793
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,-6.94241170591503,-7.69992981303154,-7.50302957015415,2.28418989524447,2.31326308777027,-3.40862750558085,-2.31467234442138,-0.870323932080406
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,5.13068827194605,1.22795098699764,-7.20773488029557,7.1491411291644,5.20608791108773,3.764728355701,7.05217189982169,7.25756966442961
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,0.167239809806496,7.07576984462329,-1.02777277764432,-5.30111819851513,-1.13204730282444,-0.66412235472905,3.26125786017478,4.16124267280077
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,5.32820910616841,1.7440629616963,4.41384707238704,-6.38844461453765,3.93824014281811,-1.03799813631446,2.54947781016253,6.02643591050451
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,5.32820910616841,1.7440629616963,4.41384707238704,-6.38844461453765,3.93824014281811,-1.03799813631446,2.54947781016253,6.02643591050451
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,5.32820910616841,1.7440629616963,4.41384707238704,-6.38844461453765,3.93824014281811,-1.03799813631446,2.54947781016253,6.02643591050451
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,5.32820910616841,1.7440629616963,4.41384707238704,-6.38844461453765,3.93824014281811,-1.03799813631446,2.54947781016253,6.02643591050451
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,-8.42240617502405,-5.38200531855735,-1.10857826938156,-5.13976575394489,3.05172895700539,5.06607391602081,4.9770808573285,5.47136604863593
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,3.83561487053316,-3.14773164303415,-7.44351779542464,7.01874032541178,5.3036095687454,5.1455888316042,6.77378655971001,7.52420825307995
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,1.16019571612547,6.10380057203831,-2.52474219301325,-4.63739117608031,-1.97214452447709,-2.47281748608538,3.64952228762023,4.83866792977806
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,-0.274971251300538,5.44094213188414,1.17186004925407,-2.5302990247171,6.90619439203676,-0.581646192637561,5.88176258192848,6.14490391050166
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,5.64977644825908,4.16868675699384,5.99571176501367,1.0828244659053,-1.34905326720925,8.75324034600081,8.2273175762588,7.089085106024
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,3.67989048596436,8.18948005881574,2.51938567423534,2.4241116214787,7.52941624532334,7.74495705523494,6.67881797438702,6.87158160434371
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,-5.09673165401388,-3.45140916453163,2.02368072823226,2.77217816198069,4.98264131873921,5.84272445759397,7.58942562150475,6.8440868903077
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,-5.55878004721087,-6.64412338427116,-0.041410762477386,-4.42414257018672,-0.49889722499472,5.59492202743963,5.38977973689423,5.85947239043042
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,-5.47231740683504,1.76061569284589,4.41384707238704,-6.38844461453765,3.93824014281811,-1.03799813631446,2.54947781016253,6.02643591050451
"44","132:07:02","132:07:02","WW_R1","Exp60_27_IS3121","Exp60_27_IS3121",1,5.32820910616841,1.7440629616963,4.41384707238704,-6.38844461453765,3.93824014281811,-1.03799813631446,2.54947781016253,6.02643591050451
"45","132:08:01","132:08:01","WW_R1","Exp60_142_IS18919","Exp60_142_IS18919",1,5.32820910616841,1.7440629616963,4.41384707238707,-6.29599026828032,0.507510245759421,-1.03927610234517,2.54947781016253,6.02643591050451
"46","132:08:02","132:08:02","WW_R1","Exp60_73_IS9468","Exp60_73_IS9468",1,5.32820910616841,1.7440629616963,4.41384707238704,-6.38844461453765,3.93824014281811,-1.03799813631446,2.54947781016253,6.02643591050451
"47","132:09:01","132:09:01","WW_R1","Exp60_116_IS14571","Exp60_116_IS14571",1,2.63008851522949,1.16914225334024,0.796397534006878,8.76859528954702,7.88454497902631,7.88701457119308,7.44030679201888,-3.90325364276888
"52","133:11:02","133:11:02","WW_R1","Exp60_196_IS22609","Exp60_196_IS22609",1,-2.33345394898445,-3.4882429160394,1.32342145967083,2.3072847651294,5.74339550766143,6.05628606995584,7.29342415793591,6.1340958893376
"53","133:12:01","133:12:01","WW_R1","Exp60_214_IS23903","Exp60_214_IS23903",1,-9.38297899970962,-6.37839514547901,-2.35050816733676,-4.5653833332009,2.25252932150712,6.03986632672844,6.42292562136405,0.63131528826713
"54","133:12:02","133:12:02","WW_R1","Exp60_242_IS27390","Exp60_242_IS27390",1,-0.357778656214775,-5.52281346977537,8.4285473818769,-1.80668650433238,5.99202604072468,6.15636831457943,4.66276634155621,-1.60155235806636
"55","133:01:01","133:01:01","WW_R1","Exp60_199_IS22986","Exp60_199_IS22986",1,-3.93296900700683,-0.877477591809127,2.1499325822772,-0.561938323401768,-5.14543866816754,4.4900942311951,7.57621079016564,4.47518652165551
"56","133:01:02","133:01:02","WW_R1","Exp60_91_IS11758","Exp60_91_IS11758",1,8.78832851122732,0.887369158401707,-3.08554581312753,-7.44519480376289,0.847806147738967,5.16656665518074,7.29152287990077,-2.29617877835044
