"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-09-23","2023-09-24","2023-09-25","2023-09-26","2023-09-27","2023-09-28","2023-09-29","2023-09-30"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,484.89629328191,484.89629328191,484.89629328191,484.89629328191,484.89629328191,484.89629328191,484.89629328191,484.89629328191
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,16373.4122458826,16373.4122458826,16373.4122458826,16373.4122458826,16373.4122458826,16373.4122458826,16373.4122458826,16373.4122458826
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,1461.11121219105,1461.11121219105,1461.11121219105,1461.11121219105,1461.11121219105,1461.11121219105,1461.11121219105,1461.11121219105
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1181.61419051474,1181.61419051474,1181.61419051474,1181.61419051474,1181.61419051474,1181.61419051474,1181.61419051474,1181.61419051474
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,1780.44643953821,1780.44643953821,1780.44643953821,1780.44643953821,1780.44643953821,1780.44643953821,1780.44643953821,1780.44643953821
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,3535.58499612101,3535.58499612101,3535.58499612101,3535.58499612101,3535.58499612101,3535.58499612101,3535.58499612101,3535.58499612101
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,79.9906481731248,79.9906481731248,79.9906481731248,79.9906481731248,79.9906481731248,79.9906481731248,79.9906481731248,79.9906481731248
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,32.8177554289617,32.8177554289617,32.8177554289617,32.8177554289617,32.8177554289617,32.8177554289617,32.8177554289617,32.8177554289617
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,19590.7318442018,19590.7318442018,19590.7318442018,19590.7318442018,19590.7318442018,19590.7318442018,19590.7318442018,19590.7318442018
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,67.843921936219,67.843921936219,67.843921936219,67.843921936219,67.843921936219,67.843921936219,67.843921936219,67.843921936219
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,2718.22239551341,2718.22239551341,2718.22239551341,2718.22239551341,2718.22239551341,2718.22239551341,2718.22239551341,2718.22239551341
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,1140.95004154096,1140.95004154096,1140.95004154096,1140.95004154096,1140.95004154096,1140.95004154096,1140.95004154096,1140.95004154096
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,42.058021012139,42.058021012139,42.058021012139,42.058021012139,42.058021012139,42.058021012139,42.058021012139,42.058021012139
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,44.5020003049215,44.5020003049215,44.5020003049215,44.5020003049215,44.5020003049215,44.5020003049215,44.5020003049215,44.5020003049215
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,233824.445852218,233824.445852218,233824.445852218,233824.445852218,233824.445852218,233824.445852218,233824.445852218,233824.445852218
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,233824.445852218,233824.445852218,233824.445852218,233824.445852218,233824.445852218,233824.445852218,233824.445852218,233824.445852218
