"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-09-23","2023-09-24","2023-09-25","2023-09-26","2023-09-27","2023-09-28","2023-09-29","2023-09-30"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,0.571633867996395,0.330487303182438,0.314330178827428,0.513053264541533,18.9995661567764,0.612151773796178,0.182266530622051,0
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,436.218546872368,19.3279325365142,0,9.21971053631483,0,13.1239408167892,0,1.54086843461242
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,35.8127524247014,0,0,0,54.2091249102568,4.07860270637189,0,1.89347508761564
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,5.94336190671434,11.4139034427527,0,11.9236889084328,0,0.922384717393044,3.82837939688559,4.35782746991083
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,6.66826612401197,0,0,6.63493855588835,26.0448258959082,0,5.76032856835811,10.8440414414701
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,2.43351885212408,37.2266234123569,0,-1.981900320438,5.97416868437271,0,0,3.72316145089319
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,0.394910606118044,1.54637270590893,0.203031596004853,0,0.49126803374728,0.500689460027024,0,2.77197275696338
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,0.084215060468,0,0.0457216443334394,0.322097525176526,0.218995894116279,0.0682289781600317,0,0.413093316338695
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,583.260069634938,0.313003379862406,0,1.41713706888988,0.201170868459263,0.0549043133064774,0,1.27884273388733
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,0,1.31988893564722,0.278879464960083,0.982739999668113,0,0,0.316037636564425,0.835551157902253
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,0,72.4883622984688,0,0.874120087199853,8.77791953808911,0.484590224756803,0.573312319787663,0
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,0.689076272431176,0.458100847223729,50.4917115471486,8.87507374652887,0,0.730001383302883,0.504435298638969,0
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,0.304902225288239,0,0.103686429252037,0.505563478509467,0,0.608035762037541,0,0.170006865678309
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,0.601961183589498,0,0,0.751038590843956,0,0,0.579296286658952,0
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,0,82.5880889061973,0,55.4214754958828,0,4481.15204204658,0,0
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,0,82.5880889061973,0,55.4214754958828,0,4481.15204204658,0,0
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,0,82.5880889061973,0,55.4214754958828,0,4481.15204204658,0,0
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,0,82.5880889061973,0,55.4214754958828,0,4481.15204204658,0,0
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,0.0250299124982572,9.70149271606213,3.94167872110113,2.95790443398211,1.05445467137872,3.26000449739848,0,0.665362664895933
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,0.0960803886326391,0.813055576407796,0.108189834557574,0.185031209976726,0,0.732546302781765,0,0.122013136112369
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,0.301442953742329,0,0,0.15313061855609,0,0,0.283087958945988,0
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,0.064005770079357,0,0.302807695385285,-0.213698609712185,0,0.0201716397186452,0.369691347879777,0.155351591277624
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,1.76794077272893,0,21.8091925584719,0,0,0,1.56405585943389,0
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,0.623463788573478,0.249319637620485,0,0,0.312961543950839,0,0.349190259178626,0
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,0.0375138768064955,1.27083602114791,0.0323431485319023,0,0.439614148807177,0.182325837002532,0.415606426392265,0
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,0.0686893521826935,0.92845179170381,0.0528226894092557,0.677914063907142,0.671051428362304,0.460706729244646,0,0.553339443346295
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,1478.31119043245,82.5880889040031,0,55.4214754958828,0,4481.15204204658,0,0
"44","132:07:02","132:07:02","WW_R1","Exp60_27_IS3121","Exp60_27_IS3121",1,0,82.5880889061973,0,55.4214754958828,0,4481.15204204658,0,0
"45","132:08:01","132:08:01","WW_R1","Exp60_142_IS18919","Exp60_142_IS18919",1,0,82.5880889061973,0,55.4206310398897,0,4481.15204279149,0,0
"46","132:08:02","132:08:02","WW_R1","Exp60_73_IS9468","Exp60_73_IS9468",1,0,82.5880889061973,0,55.4214754958828,0,4481.15204204658,0,0
"47","132:09:01","132:09:01","WW_R1","Exp60_116_IS14571","Exp60_116_IS14571",1,0.00476474804890711,0,9.76194678836545,4.77726283220674,13.1627412331647,0,11.7409864833569,0
"52","133:11:02","133:11:02","WW_R1","Exp60_196_IS22609","Exp60_196_IS22609",1,0.0556475486093846,0.598651768926425,0,0,10.5583779536134,0,0.340759426438257,0
"53","133:12:01","133:12:01","WW_R1","Exp60_214_IS23903","Exp60_214_IS23903",1,0.487569164956393,0.915832979542433,0.0684661598753121,0.450458060811615,0.503583865789783,0.989548992269289,0,1.08701439996181
"54","133:12:02","133:12:02","WW_R1","Exp60_242_IS27390","Exp60_242_IS27390",1,1553.94834764818,0.76870837688239,0,0,4.65336881484493,0,0,2.26730901005152
"55","133:01:01","133:01:01","WW_R1","Exp60_199_IS22986","Exp60_199_IS22986",1,2.56392425390643,62.6392087118922,0,0,0,0,0.662533372179803,3.8442997563607
"56","133:01:02","133:01:02","WW_R1","Exp60_91_IS11758","Exp60_91_IS11758",1,0.236233087129839,0,0,0.380573753290599,0.330715168879769,0.356051905851705,0,0.121073992156136
"57","133:02:01","133:02:01","WW_R1","Exp60_160_IS20665","Exp60_160_IS20665",1,1.06917643370044,0.771616730693602,-0.395250350883519,0.0985535158618729,1.02093754766296,1.33629244298803,1.67358406178831,0
"58","133:02:02","133:02:02","WW_R1","Exp60_247_IS27855","Exp60_247_IS27855",1,0,1.70881516726508,0.229273624285876,0.271816971084166,0,0.491105301082206,0,0
"59","133:03:01","133:03:01","WW_R1","Exp60_275_IS30619","Exp60_275_IS30619",1,0.232828831732794,0,0,0.777811417351545,0,0.0080947256338468,0.366006875450025,0
"60","133:03:02","133:03:02","WW_R1","Exp60_226_IS24953","Exp60_226_IS24953",1,0.131642199690511,0,0.616172109866552,1.48443601494104,2.1640998130285,0,0.376073676331213,0.172638060906501
"61","133:04:01","133:04:01","WW_R1","Exp60_299_IS33353","Exp60_299_IS33353",1,0.112037740204312,0,0.45626216474753,0,0,0,0,0.440479314996257
"62","133:04:02","133:04:02","WW_R1","Exp60_169_IS20743","Exp60_169_IS20743",1,0.626313926750124,0,1.25186429502749,0,0,0,0.339006551513243,0
"63","133:05:01","133:05:01","WW_R1","Exp60_262_IS29872","Exp60_262_IS29872",1,0.159388823047146,0,0,0,0.25642342245636,0,0.286307074498217,0
"64","133:05:02","133:05:02","WW_R1","Exp60_206_IS23178","Exp60_206_IS23178",1,0.21449804260804,1.34557796130375,0.381389474000232,0,0.588256443404387,0.331384366110065,0,0.706620495720232
"65","133:06:01","133:06:01","WW_R1","Exp60_70_IS8882","Exp60_70_IS8882",1,1.57142345536899,0.250181085134101,0,1.62021561707543,0.145235178555628,0.0444048386923638,0,0.943732010956881
"66","133:06:02","133:06:02","WW_R1","Exp60_107_IS14298","Exp60_107_IS14298",1,0,1.69563977295173,0.754704664766585,1.59226915275269,0,0,0.317233690939221,0.233918990641914
"67","133:07:01","133:07:01","WW_R1","Exp60_110_IS14351","Exp60_110_IS14351",1,16.3958461503477,104.069088828425,145.770068478571,0,0,0.78352850273745,-0.46390000581863,0
"68","133:07:02","133:07:02","WW_R1","Exp60_13_IS2367","Exp60_13_IS2367",1,0.719972624473428,0.783894506781145,0.307982280291144,0.447579839166118,1.38955794294746,0.691208498451218,0.32508876241885,0
"69","133:08:01","133:08:01","WW_R1","Exp60_161_IS20681","Exp60_161_IS20681",1,0.0376262298615726,0,0.798561209235711,0.100785077646684,0,0.932305249378887,0,0
"70","133:08:02","133:08:02","WW_R1","Exp60_264_IS29911","Exp60_264_IS29911",1,0.160260841113256,0,0,0.460864059321142,0.202419922670411,0,0.586570784710391,0
"71","133:09:01","133:09:01","WW_R1","Exp60_45_IS4776","Exp60_45_IS4776",1,0,0,0.522730812534683,0,0,4.98779002252851,0,0.0445664375038099
"72","133:09:02","133:09:02","WW_R1","Exp60_61_Phule Chitra","Exp60_61_Phule Chitra",1,11.6524278217847,0,304.019478335588,0,0,124.178061409086,13.3200534905326,0
"73","134:10:01","134:10:01","WW_R2","Exp60_135_IS18800","Exp60_135_IS18800",2,0.698951246478753,0,0,0,0,0,0.3220517799085,0
"74","134:10:02","134:10:02","WW_R2","Exp60_178_IS21401","Exp60_178_IS21401",2,0,0.521555908627319,-0.118514415727528,0,0.272017576281628,0,0.970471689351594,0
"75","134:11:01","134:11:01","WW_R2","Exp60_306_SSM1057","Exp60_306_SSM1057",2,0.191784582793296,1.65455762873593,0.298606031793425,0.630045962685945,0.615436238015108,0.505330169284234,0,0.61356347014059
"76","134:11:02","134:11:02","WW_R2","Exp60_232_IS25702","Exp60_232_IS25702",2,301.070769666874,0,0,0.705033848375023,0.152482483923901,-0.0387656108563612,0,1.33411384009371
"77","134:12:01","134:12:01","WW_R2","Exp60_201_IS23048","Exp60_201_IS23048",2,0.392855178746329,1.3351798639007,0.695476841576435,1.06470137118501,0,0.694277810264502,0.436472999347338,23.6807489604748
