"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-09-23","2023-09-24","2023-09-25","2023-09-26","2023-09-27","2023-09-28","2023-09-29","2023-09-30"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,-0.193381418263269,0.007376067081887,-0.0824253404360255,-0.28281283769863,-8.41884643351094,-0.283875768254948,-0.270908988081524,1.49970754441839
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,-579.69302679382,84.6123062716916,3.50711115982091,29.4216539968899,-0.455006091184796,-3.86288762543681,-0.307582492927211,-1.47356802856959
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,0.640619030255896,12.1087230407183,3.64239824319225,-9.01410342449126,-8.96874037614428,9.68514618242144,0.266300061194147,11.4416863579964
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,-2.50129778177521,9.21830493093258,-1.02381506725078,-27.2994090681425,-7.06139209776804,-2.97739872482501,1.34416988150159,16.1312837842706
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,6.23986387877942,7.30322153460415,0.127397120702212,6.11262182832305,61.7025220352976,3.5598000242839,-5.99962981958937,-1354.40699131611
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,-4.04022443253868,177.507748353835,4.60158357795287,14.554541968505,-2.80019003962325,7.81884521055594,-0.381853495116672,8.6555072489336
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,-1.02813732358179,0.560014916117892,1.54866639040229,0.164533330149076,-0.865572401562191,-0.0326225194975653,0.500412683076889,-3.89278168295562
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,-0.171484996926047,0.121008868033446,0.705798871430463,0.0610619151334064,-0.945758327393409,-0.105199918659722,0.0751555714331574,0.712557422920226
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,-1038.78563520394,0.933124311686251,0.440298025009452,0.0942764968950551,0.0157196018012516,0.802751598778404,0.0358988236549365,0.596748887903786
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,-0.458623220945378,0.00125565104427782,0.342148535467832,0.549963641037029,-0.0987048477559954,0.53854627498533,-0.27172780221641,0.668500398333546
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,0.103715454465981,-115.358833694571,-0.936500571133433,1.7366677645681,-0.0379004504457852,0.118608746766731,1.64963428741522,-0.465771652301973
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,-0.400198759380432,-0.0530876926853084,-0.848067359972178,-10.8027067438115,-1.83653956585989,-1.20168503822448,-0.673061476073201,0.823545708709536
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,0.482513731582977,-0.0129372793732281,-0.00698114776395919,1.1618981677548,-1.17189659571374,0.548696308849601,-0.242374564833037,0.691939325227038
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,-1.21515342160402,0.281698885017344,0.00394005521422839,0.028269928726035,-0.121074847937512,-0.124402797603621,-0.661354453303573,0.0831728928862918
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,-29.070969298288,-89.2933958145475,-10.0861995024372,-928.273030534001,-279.90705465438,-8454.2569723285,282.073312968079,11.7027271456575
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,-29.070969298288,-89.2933958145475,-10.0861995024372,-928.273030534001,-279.90705465438,-8454.2569723285,282.073312968079,11.7027271456575
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,-29.070969298288,-89.2933958145475,-10.0861995024372,-928.273030534001,-279.90705465438,-8454.2569723285,282.073312968079,11.7027271456575
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,-29.070969298288,-89.2933958145475,-10.0861995024372,-928.273030534001,-279.90705465438,-8454.2569723285,282.073312968079,11.7027271456575
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,-0.165991630293862,1.88634994398342,-2.72495712264469,-1.01944879680696,0.119573204186208,0.232005575849302,0.0923090597949229,1.11829900805574
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,0.339417802536012,-0.467445919699613,-0.122011831513226,0.564162898807614,-0.631798596914246,1.50931994495698,-0.171014535409111,0.502757086343835
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,-0.232592808662879,0.127356738495877,-0.137201286193159,-0.0881720989453159,-0.0697951850308391,-0.164717380185183,-0.31733405022343,0.0813302319951006
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,0.804078196006874,-0.00770603472280073,-0.551191167272422,1.36128029955105,-0.87729800922053,-0.22317037177371,-0.356485302622878,0.558113500650565
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,8.930508333542,0.417106021764345,69.591141324924,-71.9032152971593,-5.59477375404446,6.63155971477415,3.13567353861299,0.90699516711812
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,-0.328710206173984,0.820759453429362,0.104317199876669,0.488110178815281,-0.173366357639354,0.0883906961506351,0.680717138482669,0.165804409719483
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,-1.84019988342904,0.100534760291741,1.22084164632379,0.348997253437721,-0.652555539188207,0.119960637902033,1.87444434728548,0.342547238200617
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,-0.342532724514055,0.263944828541547,0.739941542859108,-0.0414931708317478,-1.2910097059605,0.752702219854604,-0.214147893530771,1.33774857115768
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,-573.408755195903,-89.2933958145475,-10.0861995024372,-928.273030534001,-279.90705465438,-8454.2569723285,282.073312968079,11.7027271456575
"44","132:07:02","132:07:02","WW_R1","Exp60_27_IS3121","Exp60_27_IS3121",1,-29.070969298288,-89.2933958145475,-10.0861995024372,-928.273030534001,-279.90705465438,-8454.2569723285,282.073312968079,11.7027271456575
"45","132:08:01","132:08:01","WW_R1","Exp60_142_IS18919","Exp60_142_IS18919",1,-29.070969298288,-89.2933958145475,-10.0861995024373,-442.646363755186,-51.3773221874712,-8454.25697232827,282.073312968079,11.7027271456575
"46","132:08:02","132:08:02","WW_R1","Exp60_73_IS9468","Exp60_73_IS9468",1,-29.070969298288,-89.2933958145475,-10.0861995024372,-928.273030534001,-279.90705465438,-8454.2569723285,282.073312968079,11.7027271456575
"47","132:09:01","132:09:01","WW_R1","Exp60_116_IS14571","Exp60_116_IS14571",1,8.5896801836309,3.08390745222526,71.7288480700888,14.2708369799583,37.4405856331835,1.30756025658776,61.7681159842066,-29.5779346586754
"52","133:11:02","133:11:02","WW_R1","Exp60_196_IS22609","Exp60_196_IS22609",1,-0.652379280717398,-0.20221983946504,2.13945175818292,0.390049441377641,19.9924283149901,0.0211128745540103,1.72811711848606,0.144335976203378
"53","133:12:01","133:12:01","WW_R1","Exp60_214_IS23903","Exp60_214_IS23903",1,-0.620432399135066,0.316520053739757,0.242964500692074,0.224861656577598,-0.965417742136977,3.34699011985034,-0.383622509427279,-0.202285340992631
"54","133:12:02","133:12:02","WW_R1","Exp60_242_IS27390","Exp60_242_IS27390",1,-2945.40686717145,2.82982226051199,1.05544349386368,-0.0722769870558796,14.632051644444,0.820684700820226,-0.0886795980890205,2.32682587323979
