"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-09-23","2023-09-24","2023-09-25","2023-09-26","2023-09-27","2023-09-28","2023-09-29","2023-09-30"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,0.362179355509462,0.223882683476623,0.195347464950806,0.0578703410188979,5.20120524438634,0.326613796531331,0.0964144722862772,3.61228064151086
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,168.845309875432,35.5092803042264,0,13.4203369356533,0,8.66211039829128,0,0.885087249949045
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,17.7476123781002,0.74407344482566,4.29274044053728,5.05773940489267,25.7030400270648,8.06267897475749,0,16.1394957444638
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1.2806487242305,8.05331743542498,0.284317563932975,13.4580285066673,0,0.922384717393044,4.49711119939086,22.0008957573457
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,9.70388250827885,0,1.99861265326315,5.02852542839039,21.9792948255638,0,5.26362436150016,43.8508786748472
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,2.89265015995587,148.870418704013,0,14.0786323146412,12.0442154798662,0,0,11.6530828481758
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,0.64483536734734,0.674911757159057,1.34957450585511,0,0.448574593834305,0.442036219858144,0,1.25041836600818
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,0.0356879231487608,0.219486607350683,1.18847019279253,0.246854459532806,0.750934056106664,0.209908551846225,0.174133556982212,0.66283882979459
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,322.961310699201,0.424813438580047,0,0.771959095221666,0.0639286638242263,1.17953285692572,0.422272060094897,0.657065114260114
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,0,0.270520545694169,0.115390318036206,0.612423468271815,0.273985716970792,0.369517052185006,0.190741620933529,0.305192787470849
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,0,63.1045765217881,0,0.874120087199853,0.977018101000941,0.614754978321498,0.634293148437734,0
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,0.272646821135534,0.261880438990396,26.8421442087694,3.38002155986393,0,0.239456313584257,0.318092414631474,2.7984894192634
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,0.67341629986897,0,0.197431684679509,0.302683989528561,0,0.38469030317279,0.420222227354834,0.974383714429068
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,0.303809268381218,0,0.196020986694657,0.675353999329762,0.593635458631168,0.196327461016786,0.300725395066638,0
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,0,72.1736243940532,0,42.8533091981449,3800.37752588971,2165.86343331113,0,0
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,0,72.1736243940532,0,42.8533091981449,3800.37752588971,2165.86343331113,0,0
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,0,72.1736243940532,0,42.8533091981449,3800.37752588971,2165.86343331113,0,0
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,0,72.1736243940532,0,42.8533091981449,3800.37752588971,2165.86343331113,0,0
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,0.0504396970692434,4.72235125178479,2.06416677564134,2.52317355389278,1.41616665147394,4.99725827206664,0,1.13793376462674
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,0.152049673213433,0.391773512706702,0.0327706604197919,0.173063403405864,0,1.06782673903986,0,0.709645547528031
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,0.597405059118546,0,0.257977339885591,0.15313061855609,0.588595587281325,0.126412814995504,0.155107386089161,0
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,0.111848828464243,0,0.141765131653742,1.8786473179874,0.409308417636058,0.408454128280077,0.313224473618065,0.705046937333463
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,6.65778308442151,0,34.8853222468294,0,46.5500121637061,0.73120954349612,1.51282037870874,0
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,0.436378867681513,0.644888716276173,0.0804964089105446,0.313645889208856,0.216782620047873,0,0.201033907932131,0
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,0.257177579544693,4.07175388109878,0.943543006551042,0,0.314402662551694,0.188540828773708,1.36414249433765,0
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,0.199641005682732,0.245643812364283,1.59122324760219,0.984458386406252,0.797727145920499,0.248814526081325,0,1.54008113142979
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,494.535634056603,72.1736243940532,0,42.8533091981449,3800.37752588971,2165.86343331113,0,0
"44","132:07:02","132:07:02","WW_R1","Exp60_27_IS3121","Exp60_27_IS3121",1,0,72.1736243940532,0,42.8533091981449,3800.37752588971,2165.86343331113,0,0
"45","132:08:01","132:08:01","WW_R1","Exp60_142_IS18919","Exp60_142_IS18919",1,0,72.1736243940532,0,42.8527353134227,2230.76798634188,2165.86343330617,0,0
"46","132:08:02","132:08:02","WW_R1","Exp60_73_IS9468","Exp60_73_IS9468",1,0,72.1736243940532,0,42.8533091981449,3800.37752588971,2165.86343331113,0,0
"47","132:09:01","132:09:01","WW_R1","Exp60_116_IS14571","Exp60_116_IS14571",1,5.53016710180964,0,17.1612853764571,5.75987391541503,20.5121792722775,0,82.1259440311501,13.2191404694101
"52","133:11:02","133:11:02","WW_R1","Exp60_196_IS22609","Exp60_196_IS22609",1,0.368777421215845,1.76622120048227,1.57392081389599,0.609519857541729,6.1169380425182,0,1.41731463355071,0
"53","133:12:01","133:12:01","WW_R1","Exp60_214_IS23903","Exp60_214_IS23903",1,0.133833414930377,0.409057459222213,1.22488681757571,0.702484070287885,0.514868299313423,1.9505738035809,0,0.117909277209025
"54","133:12:02","133:12:02","WW_R1","Exp60_242_IS27390","Exp60_242_IS27390",1,1611.65715232162,1.64491487788646,0,0,7.75461499179052,0,0.510167014943652,1.46194947316782
"55","133:01:01","133:01:01","WW_R1","Exp60_199_IS22986","Exp60_199_IS22986",1,1.44963434291917,50.7899218277432,0,0,0.426521380145311,53.1686484043856,0.491233210318095,0.851391191190529
"56","133:01:02","133:01:02","WW_R1","Exp60_91_IS11758","Exp60_91_IS11758",1,0.103011755707251,0,0.264342811535858,0.185321570494773,0.436422225641616,0.187237459533694,0,0.0270391642832775
"57","133:02:01","133:02:01","WW_R1","Exp60_160_IS20665","Exp60_160_IS20665",1,0.470991724110876,0.321234698043257,2.35642090797834,0.740288017255853,0.627186062723632,1.08459369763336,0.843802392110457,0
"58","133:02:02","133:02:02","WW_R1","Exp60_247_IS27855","Exp60_247_IS27855",1,0.266930950495932,1.04097732365093,0.0977998653877975,0.391176568851786,0,0.117528489504384,0.109705871535688,0
