"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","maxET","slope.maxET-6","slope.07-maxET","slope.00-07","slope.19-23:45","curvmaxET","total.auc","auc.10-15","sd.10-15","auc.prop.10-15","auc.07-19","sd.07-19","auc.prop.07-19","auc.night","cos.sim.index"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,20.8300340017168,6.43932571365403e-05,9.50549348601616e-05,1.89176551707139e-05,1.21958818350036e-06,-7.79509194762686,0.0835704188970937,0.0473445780327526,0.000227993387102944,0.566523162831712,0.0770388831271926,0.000842348896818277,0.921843926881066,0.00653153576990118,0.859579094577784
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,6.01131134173954,0.00587124522904385,0.00294752262029771,0.00079178851409317,0.0139901342764455,4.41236648953002,-1.6171739857188,-1.05634842653685,0.0842506088639881,0.653206418026401,-3.05208462676456,0.0883756023709677,1.88729515421185,1.43491064104576,-0.331032911223001
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,291.110095172055,0.00021401080207319,0,-0.00150280794809631,0.00200210428861238,3.18435153314059,1.32790231935678,0.436978410161803,0.00404104958886876,0.329074212607348,0.330304652675323,0.0168772533573518,0.248741679158539,0.997597666681455,0.298117572421981
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,421.305719630716,0.00231629946706287,0.00328287301146969,-0.00242016117646443,0.00152419109545196,-0.983960312318822,1.9113413184807,0.977182210448883,0.0073247846835103,0.511254688527129,1.27122799655466,0.0222931439252619,0.665097324200128,0.640113321926041,0.741427385675638
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,0.154736956866958,0,0,-0.029204932103099,0.00120754361182002,3.31758645894627,-15.3107306123778,-1.74892182036716,0.158933203513538,0.1142285018687,-7.7908650003315,0.259269577139655,0.508849982249251,-7.51986561204629,-0.147117730878161
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,232.153665964139,0.0246148254223465,0.00592266241686576,-0.0019831465748062,0.0293498350772468,5.99841252405961,6.38661185390261,0.614225552701439,0.00473375089961911,0.096173928642009,0.0316742194190368,0.0418792096459772,0.00495947149186495,6.35493763448358,0.0380346901095374
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,0.0116721573357922,0.000194118480484246,0.000444768544553019,-0.000100167694440808,9.25950871513223e-05,-5.93321048638197,0.307926399257686,0.174240951485757,0.000894622262760016,0.565852593041055,0.27023897536966,0.00317466520782581,0.877608987151221,0.0376874238880255,0.890182134214503
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,26.7759590452259,6.3128855370519e-05,0,0.000114276931331948,2.00080861404787e-05,-2.07036841544203,0.136235604283514,0.0236163315164433,0.000699848235787008,0.173349189007129,0.0607587271460289,0.00128587145663385,0.445982733115687,0.0754768771374852,0.281805847246726
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,9.4373947593412,7.02403386700003e-05,4.9656750220978e-05,0.0310441559990976,0.000154286474300654,-5.17900915668479,-5.36451809825647,0.0108940536583451,0.000109226396465158,-0.00203076091063721,0.01737509360663,0.000268322684590162,-0.00323889178643598,-5.3818931918631,0.00127587021639503
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,19.9889678292506,7.78072640058418e-05,0.000379627161444492,-0.000160084519333354,2.07614323351485e-07,-5.40442420199979,0.222877105413117,0.137924571417894,0.000924898647906593,0.618836874977543,0.20840227648152,0.00271190330507875,0.935054662053482,0.0144748289315967,0.889121365304567
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,0.781816578890859,0.0181501720426015,0.020849141525407,-0.000532993855424583,-0.0190738870558494,-1.14151884938814,17.1616885231835,2.48555112420688,0.164574108072671,0.144831385376164,12.0590016982026,0.297111679700718,0.702669884837514,5.10268682498086,0.462032476916412
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,15.9625052013544,7.53221918956476e-05,0.000131759210635086,9.89096954437878e-06,-8.77772964501524e-06,-7.6874697461824,0.0933069255459558,0.0564613296296105,0.000265066514380805,0.605114028773802,0.0922575542108316,0.000939910129987351,0.988753553619046,0.00104937133512421,0.896199588474262
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,16.5320556335577,0,0,-0.000321046130823363,-2.13910107853783e-06,0.830474158454714,0.156688545704705,0.0635104382937331,0.000615660960571043,0.405329170732268,0.102125828812664,0.00131275847111233,0.651775969668709,0.054562716892041,0.621497905450433
