;unit;old_unit;Treatment;Genotype;G..Alias;Replicates;maxET;slope.maxET-6;slope.07-maxET;slope.00-07;slope.19-23:45;curvmaxET;total.auc;auc.10-15;sd.10-15;auc.prop.10-15;auc.07-19;sd.07-19;auc.prop.07-19;auc.night;cos.sim.index
1;131:10:01;131:10:01;WW_R1;Exp60_125_IS15752;Exp60_125_IS15752;1;20.830034;3.78E-06;7.15E-06;9.94E-06;-1.06E-05;-8.520057276;0.01879644;0.007013126;1.26E-05;0.373109267;0.015233477;6.30E-05;0.810444805;0.003562963;0.738378173
2;131:10:02;131:10:02;WW_R1;Exp60_60_IS6828;Exp60_60_IS6828;1;6.011311342;0;0;-0.000570854;-1.21E-05;6.418503965;0.211655547;-0.002693829;0.000233329;-0.012727422;0.001911548;0.000584661;0.00903141;0.209743999;0.006325181
3;131:11:01;131:11:01;WW_R1;Exp60_146_IS19053;Exp60_146_IS19053;1;291.1100952;0;0;-0.001776951;1.04E-05;5.533520225;-0.685814099;-0.196863278;0.008449202;0.287050497;-0.512808087;0.01420398;0.747736285;-0.173006013;-0.191127728
4;131:11:02;131:11:02;WW_R1;Exp60_8_IS2156;Exp60_8_IS2156;1;421.3057196;0.000176371;0.000150144;-0.000161772;5.27E-05;8.545716812;0.357600443;-0.003923536;0.00044193;-0.010971843;0.064109799;0.002136923;0.179277738;0.293490644;0.101084792
5;131:12:01;131:12:01;WW_R1;Exp60_29_IS3443;Exp60_29_IS3443;1;0.154736957;0.000206432;0.000225912;-0.000257033;-0.000235297;5.748797546;0.44070846;0.033172665;0.001978924;0.075271222;0.158405586;0.003550796;0.359433958;0.282302874;0.358980051
6;131:12:02;131:12:02;WW_R1;Exp60_46_IS4821;Exp60_46_IS4821;1;232.153666;0;0;-0.000417598;-1.50E-05;8.25580269;0.303001814;0.00195111;7.58E-05;0.006439267;0.032272909;0.000966995;0.106510615;0.270728905;0.056252017
19;131:07:01;131:07:01;WW_R1;Exp60_179_IS21425;Exp60_179_IS21425;1;0.011672157;0;0;-4.26E-05;1.96E-05;9.305669207;0.025926353;-0.000220202;2.06E-05;-0.008493363;0.001043123;7.53E-05;0.040234084;0.02488323;0.006614857
20;131:07:02;131:07:02;WW_R1;Exp60_14_IS2398;Exp60_14_IS2398;1;26.77595905;1.37E-05;0;1.26E-05;2.95E-06;2.625875304;0.013796809;-0.00060558;2.09E-05;-0.043892771;0.001011951;9.10E-05;0.073346765;0.012784857;-0.039932419
21;131:08:01;131:08:01;WW_R1;Exp60_243_IS27490;Exp60_243_IS27490;1;9.437394759;2.00E-05;0;-1.89E-05;1.41E-06;6.073626728;0.02807841;-0.000255408;1.46E-05;-0.009096245;0.001807186;8.58E-05;0.064362107;0.026271224;0.018348955
22;131:08:02;131:08:02;WW_R1;Exp60_272_IS30443;Exp60_272_IS30443;1;19.98896783;6.45E-06;0;-1.69E-05;-1.07E-05;7.641273404;0.029984307;-0.000198216;3.86E-05;-0.006610668;0.006355854;0.000201741;0.211972679;0.023628453;0.132642422
23;131:09:01;131:09:01;WW_R1;Exp60_260_IS29691;Exp60_260_IS29691;1;0.781816579;2.49E-05;2.25E-05;-3.21E-05;6.47E-05;7.772551004;0.025384525;-0.00052835;2.70E-05;-0.020813861;-0.000885671;9.17E-05;-0.034890213;0.026270196;-0.038111094
24;131:09:02;131:09:02;WW_R1;Exp60_77_IS9713;Exp60_77_IS9713;1;15.9625052;1.25E-05;1.98E-05;2.17E-06;-2.64E-05;-2.359123492;0.019600321;0.004583182;0.000159552;0.233831983;0.0146087;0.000272212;0.745329624;0.004991621;0.641486704
25;132:10:01;132:10:01;WW_R1;Exp60_121_IS15443;Exp60_121_IS15443;1;16.53205563;1.99E-05;0;-5.50E-05;-9.51E-06;6.858477714;0.061334769;0.00054455;1.79E-05;0.008878329;0.008247397;0.000204841;0.134465287;0.053087372;0.070897037
26;132:10:02;132:10:02;WW_R1;Exp60_276_IS30748;Exp60_276_IS30748;1;2.632888712;1.18E-05;2.27E-05;-2.57E-06;-2.59E-05;3.331617862;0.026547308;-0.000652327;5.98E-05;-0.024572262;0.009530016;0.000357133;0.3589824;0.017017291;0.175325159
27;132:11:01;132:11:01;WW_R1;Exp60_139_IS18874;Exp60_139_IS18874;1;351.566928;0;0;-0.051072353;0.011062527;2.45180776;-3.819047308;0.079456992;0.005419589;-0.020805448;-0.460005995;0.020478683;0.120450457;-3.359041313;-0.005459552
28;132:11:02;132:11:02;WW_R1;Exp60_9_IS2179;Exp60_9_IS2179;1;351.566928;0;0;-0.051072353;0.011062527;2.45180776;-3.819047308;0.079456992;0.005419589;-0.020805448;-0.460005995;0.020478683;0.120450457;-3.359041313;-0.005459552
29;132:12:01;132:12:01;WW_R1;Exp60_82_IS10801;Exp60_82_IS10801;1;351.566928;0;0;-0.051072353;0.011062527;2.45180776;-3.819047308;0.079456992;0.005419589;-0.020805448;-0.460005995;0.020478683;0.120450457;-3.359041313;-0.005459552
30;132:12:02;132:12:02;WW_R1;Exp60_112_IS14446;Exp60_112_IS14446;1;351.566928;0;0;-0.051072353;0.011062527;2.45180776;-3.819047308;0.079456992;0.005419589;-0.020805448;-0.460005995;0.020478683;0.120450457;-3.359041313;-0.005459552
31;132:01:01;132:01:01;WW_R1;Exp60_31_IS3511;Exp60_31_IS3511;1;39.52022538;0;0;-0.000197516;3.62E-06;5.040307591;0.043301194;0.002647344;5.88E-05;0.061137907;0.00554969;9.68E-05;0.128164819;0.037751505;0.03730275
36;132:03:02;132:03:02;WW_R1;Exp60_282_IS31299;Exp60_282_IS31299;1;12.00115575;0;0;-8.75E-05;-6.71E-06;6.599307486;0.05921848;4.39E-05;4.94E-05;0.000740501;0.004639103;0.00017547;0.078338771;0.054579377;0.045200263
37;132:04:01;132:04:01;WW_R1;Exp60_72_IS9303;Exp60_72_IS9303;1;2.499546257;6.08E-06;1.11E-05;-2.43E-06;-1.24E-05;3.792130545;0.013586627;-0.000325864;2.93E-05;-0.023984209;0.004601101;0.000174111;0.338649271;0.008985525;0.172742121
38;132:04:02;132:04:02;WW_R1;Exp60_155_IS20064;Exp60_155_IS20064;1;17.093404;1.23E-05;1.45E-05;-1.45E-07;-1.40E-05;6.311237022;0.035476935;-0.000657396;4.46E-05;-0.018530249;0.008706512;0.000262234;0.245413325;0.026770422;0.124299435
39;132:05:01;132:05:01;WW_R1;Exp60_26_IS3073;Exp60_26_IS3073;1;46.55492071;5.93E-05;6.13E-05;-4.87E-05;0.000122977;8.530396524;0.113589999;-0.002114939;6.68E-05;-0.018619063;0.008571253;0.000475381;0.075457817;0.105018746;0.015123526
40;132:05:02;132:05:02;WW_R1;Exp60_118_R16;Exp60_118_R16;1;3.95249615;7.88E-06;1.37E-05;-3.30E-06;2.67E-05;6.914244383;0.0197961;-0.000232717;8.15E-06;-0.011755674;0.002054609;9.28E-05;0.103788581;0.017741491;0.027639661
41;132:06:01;132:06:01;WW_R1;Exp60_47_IS4963;Exp60_47_IS4963;1;8.328301589;5.35E-05;1.63E-05;-1.91E-05;7.35E-05;7.863572387;0.018688782;-3.31E-05;3.64E-06;-0.001770041;-0.001938906;7.08E-05;-0.103747037;0.020627688;-0.045823139
42;132:06:02;132:06:02;WW_R1;Exp60_86_IS10971;Exp60_86_IS10971;1;40.75702587;0;0;-4.59E-05;-8.40E-06;5.528522935;0.026763294;0.003105812;8.37E-05;0.116047459;0.007486917;0.000111409;0.279745729;0.019276377;0.26610889
43;132:07:01;132:07:01;WW_R1;Exp60_209_IS23601;Exp60_209_IS23601;1;351.566928;0;0;-0.051072353;0.011062527;2.45180776;-3.819047308;0.079456992;0.005419589;-0.020805448;-0.460005995;0.020478683;0.120450457;-3.359041313;-0.005459552
44;132:07:02;132:07:02;WW_R1;Exp60_27_IS3121;Exp60_27_IS3121;1;351.566928;0;0;-0.051072353;0.011062527;2.45180776;-3.819047308;0.079456992;0.005419589;-0.020805448;-0.460005995;0.020478683;0.120450457;-3.359041313;-0.005459552
45;132:08:01;132:08:01;WW_R1;Exp60_142_IS18919;Exp60_142_IS18919;1;351.566928;0;0;-0.051072353;0.011062527;2.45180776;-3.819047308;0.079456992;0.005419589;-0.020805448;-0.460005995;0.020478683;0.120450457;-3.359041313;-0.005459552
46;132:08:02;132:08:02;WW_R1;Exp60_73_IS9468;Exp60_73_IS9468;1;351.566928;0;0;-0.051072353;0.011062527;2.45180776;-3.819047308;0.079456992;0.005419589;-0.020805448;-0.460005995;0.020478683;0.120450457;-3.359041313;-0.005459552
47;132:09:01;132:09:01;WW_R1;Exp60_116_IS14571;Exp60_116_IS14571;1;0.080875079;0.003220866;0.000460465;-0.000265412;0.00242246;7.709328169;0.584132762;-0.010302528;0.000189196;-0.017637306;-0.030913901;0.001351431;-0.052922731;0.615046663;-0.040928747
52;133:11:02;133:11:02;WW_R1;Exp60_196_IS22609;Exp60_196_IS22609;1;3.046222834;5.56E-05;1.34E-05;-1.47E-05;6.78E-05;7.531427912;0.01383692;-3.63E-05;2.03E-06;-0.002623967;-0.001955644;6.53E-05;-0.141335205;0.015792564;-0.05386951
53;133:12:01;133:12:01;WW_R1;Exp60_214_IS23903;Exp60_214_IS23903;1;45.78931231;0;0;-0.000155196;-1.50E-05;6.322779851;0.06417532;0.001311448;9.96E-05;0.020435393;0.006621405;0.000204845;0.103176815;0.057553915;0.074096983
54;133:12:02;133:12:02;WW_R1;Exp60_242_IS27390;Exp60_242_IS27390;1;35.15415127;2.42E-05;0;-2.02E-05;-3.48E-06;4.812422713;0.032316486;0.000167931;3.41E-05;0.005196451;0.002989851;9.73E-05;0.092517821;0.029326635;0.040549165
55;133:01:01;133:01:01;WW_R1;Exp60_199_IS22986;Exp60_199_IS22986;1;213.9386895;1.93E-05;2.60E-05;-3.80E-05;-2.00E-05;7.937398696;0.06148204;6.29E-05;3.00E-05;0.001023096;0.013431934;0.000416422;0.218469231;0.048050106;0.135757089
56;133:01:02;133:01:02;WW_R1;Exp60_91_IS11758;Exp60_91_IS11758;1;3.758127535;0;0;-3.55E-05;6.61E-06;7.064490377;0.009175657;-2.98E-05;1.74E-06;-0.003243331;-6.58E-05;9.90E-06;-0.007173238;0.009241476;0.000291499
57;133:02:01;133:02:01;WW_R1;Exp60_160_IS20665;Exp60_160_IS20665;1;5.548190268;3.31E-05;6.56E-05;5.49E-06;-7.59E-05;2.810134386;0.071795538;-0.002220093;0.000151368;-0.030922443;0.026819852;0.001035206;0.37355875;0.044975687;0.16757697
58;133:02:02;133:02:02;WW_R1;Exp60_247_IS27855;Exp60_247_IS27855;1;7.797371636;5.20E-06;0;-3.06E-05;-5.29E-06;7.953157937;0.047295246;-0.000779222;2.73E-05;-0.016475701;0.006800812;0.000222242;0.143794824;0.040494434;0.057734755
59;133:03:01;133:03:01;WW_R1;Exp60_275_IS30619;Exp60_275_IS30619;1;1.629156239;1.33E-05;1.44E-05;-1.93E-06;-7.39E-06;4.448632569;0.017555646;-0.000729518;1.93E-05;-0.041554583;0.004673602;0.000211066;0.26621647;0.012882044;0.096229299
