"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-10-02","2023-10-03","2023-10-04","2023-10-05","2023-10-06","2023-10-07","2023-10-08","2023-10-09"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,241.75,356.15400000001,441.569999999992,484.906000000003,-654.462499999994,476.270000000011,376.089999999997,632.924999999996
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,593,380.846000000001,-19242.7725,-566.278999999999,-4880.1125,17580.855,20060.85,73.4950000000026
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,-122.550000000003,54.6924999999974,830.771000000001,367.243499999997,451.402499999997,1586.29000000001,-146.264999999999,-506584.395
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,-104.400000000001,-239,1576.9345,-211.585500000001,162.654999999999,241.665000000001,948.934999999998,-495198.195
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,807.650000000001,176.15400000001,168.606999999996,186.458500000001,286.187500000007,736.010000000002,116.350000000006,-502265.18
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,-228,-273.923000000003,679.046499999997,15.9290000000037,205.779999999999,-98.3949999999968,836.384999999995,-510504.005
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,-141.575,-22.6149999999998,-87.2440000000001,50.2704999999996,31.8209999999999,20.567,-26.5565000000001,-587306.091
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,-183.899999999994,0.461999999999534,143.083000000006,3.41249999999854,35.5900000000038,130.285000000003,145.964999999997,115.839999999997
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,-1357.1,-3.84600000000501,18.1134999999995,5.4835000000021,63.8800000000047,502.290000000001,-1376.635,1354.74
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,76.6500000000015,2.53800000000047,374.596499999992,11.6335000000036,20.7324999999983,15.2300000000032,24.4649999999965,1238.88
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,22.1000000000058,-0.0769999999902211,-382.855000000003,781.673000000003,-3.20999999999913,620.395000000004,301.80000000001,247.035000000003
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,216.049999999996,7.0769999999975,345.957000000002,177.985499999995,292.785000000003,621.274999999994,476.564999999995,456.700000000004
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,-17864.81,2.15399999999863,14.2879999999968,65.3710000000028,3.13000000000102,359.299999999999,101.649999999998,-533600.485
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,16.75,0.769499999998516,452.9895,160.303999999996,5.94250000000466,430.445,55.8500000000022,-534814.595
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,-17864.81,-167.898000000001,952.389999999999,958.376000000004,-427696.5215,-36771.8,-175.080000000016,-67347.37
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,-17864.81,-167.898000000001,952.389999999999,958.376000000004,-427696.5215,-36771.8,-175.080000000016,-67347.37
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,-17864.81,-167.898000000001,952.389999999999,958.376000000004,-427696.5215,-36771.8,-175.080000000016,-67347.37
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,-17864.81,-167.898000000001,952.389999999999,958.376000000004,-427696.5215,-36771.8,-175.080000000016,-67347.37
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,-283.549999999996,-1.23050000000512,218.707000000002,-17.6499999999942,46.1825000000026,44.864999999998,-10.7999999999956,-512070.67
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,400.450000000004,0.84599999999773,12.3894999999975,83.4230000000025,2.07499999999709,340.544999999991,107.034999999996,7033.215
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,10.2999999999956,0.692499999997381,329.661999999997,166.243999999999,27.0449999999983,667.73000000001,77.9849999999933,1831.71
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,38.25,1.15399999999499,-581.758999999998,7.79349999999977,63.3875000000044,410.584999999999,-2982.35,2866.54000000001
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,691.400000000001,-2.61499999999796,-12.1655000000028,-5.66449999999895,1.81750000000466,249.705000000002,-168.235000000001,31.2500000000073
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,-88.4000000000015,-1.0769999999975,295.8655,76.6789999999964,56.3424999999988,21.0550000000003,387.165000000001,26.2649999999921
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,569.799999999996,0.692499999997381,514.855000000003,18.2355000000025,131.042500000003,293.964999999997,30.8499999999985,1873.165
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,-164.250000000007,0.692500000004657,104.236500000006,19.5459999999948,30.4574999999968,460.034999999996,19.114999999998,216.300000000003
