"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-10-02","2023-10-03","2023-10-04","2023-10-05","2023-10-06","2023-10-07","2023-10-08","2023-10-09"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,NA,-0.483504160953565,0.549209586945425,0.466440327110201,0.371442995415294,0.496290352833305,0.373772609819119,0.665116645649429
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,NA,0.0287009634913279,1.64424140001509,-0.0602382109087859,0.620284658337165,1.00027964364922,2.15949556493283,-0.00455547050054717
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,NA,0.208590770404258,0.533641530425309,-0.215774464836069,2.47983837740135,1.25237540708577,-0.162951203208556,1.00055590236154
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,NA,-1.74134790528233,1.50882031566943,0.47110708846556,0.145623266776041,17.4866136034737,-0.169608657962233,1.00141153636362
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,NA,0.578027891714551,0.437385291649418,-1.60864201258733,2.47733125581605,-0.667573683804762,-0.770529801324542,1.00280285158363
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,NA,-0.45775902406418,5.17565929878029,0.0239195184562063,-4.01572882414377,-0.28558367678643,-2.46285335689051,1.00455028191238
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,NA,-0.446980926969066,5.46384844214805,-0.687850198745264,0.123322630464228,1.29883170192607,-0.384960498659133,1.00143717618175
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,NA,0.00122823341751839,0.738127173116844,-0.00392971085964636,-0.0637074362634825,0.400273433899672,0.151274743496732,-0.185825660111003
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,NA,-0.00482378025837827,0.0400952715094125,-0.00727283096620103,0.388999853851053,0.755311950196237,-2.88935879945428,0.805985067079152
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,NA,0.00369190486580908,-0.216602700042062,0.209506915430151,0.0458508644377943,0.444866364831399,0.0672115384615289,0.780544354838709
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,NA,9.02220399440163e-05,0.873634429212815,0.915820564672028,-0.0966649100353666,1.02270779070918,-0.576724632142191,0.428969576995221
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,NA,-0.0140235806994897,0.573825336376426,0.214586694058836,-0.247928845517939,0.725907274554248,0.594257746742306,0.628543903110384
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,NA,0.00543390514631338,0.0241527192939401,0.369821824075693,-0.0425445154275001,0.858634739697214,0.493806169540921,0.999783302412402
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,NA,0.00304210318244129,0.476533845996052,-169.723663313663,3.38411161731237,0.939149312184321,0.155246699096602,1.00225633640442
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,NA,-0.000379685509982338,-0.924359267395871,-0.0756976199279296,1.00553790693913,1.01834284377081,0.123929824064682,2.24284629808508
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,NA,-0.000379685509982338,-0.924359267395871,-0.0756976199279296,1.00553790693913,1.01834284377081,0.123929824064682,2.24284629808508
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,NA,-0.000379685509982338,-0.924359267395871,-0.0756976199279296,1.00553790693913,1.01834284377081,0.123929824064682,2.24284629808508
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,NA,-0.000379685509982338,-0.924359267395871,-0.0756976199279296,1.00553790693913,1.01834284377081,0.123929824064682,2.24284629808508
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,NA,-0.00283885107856756,0.903813292283576,0.0245207342605283,0.434924895230057,-0.0827843897038439,-0.00921462394948646,0.999201100671052
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,NA,0.00200545217493829,0.0202074651574297,0.488812846256855,-0.0410310154928599,0.859321969744726,0.511395126612511,0.949279929815091
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,NA,0.0039753157290321,0.29951261127967,1.22663046285294,-0.0200717149126261,0.922279005524876,0.161275979733211,3.07328736095035
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,NA,0.0015046613208097,0.868092948299472,0.0228327090605723,0.280468217657965,0.661210061839732,1.27314834578442,0.909017108246527
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,NA,-0.0509746588693531,-0.128353783986278,-0.0160971312465334,0.0888383801356209,1.75447040224842,0.307166331933543,0.0260144598773844
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,NA,-0.00171128942559387,-0.268646016919682,0.108948437788603,0.175487911992074,0.21270899631259,-2.26147780373836,0.0407525213343555
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,NA,0.000673310646570132,0.653481243614077,0.114770245520421,-0.0520386064768655,0.736495966327597,0.0496259953349931,0.845901824421965
