"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-10-02","2023-10-03","2023-10-04","2023-10-05","2023-10-06","2023-10-07","2023-10-08","2023-10-09"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,0.364130434782652,1.52886666666673,1.3198241758238,1.28025974025969,0.386764705882395,4.97913746962381,1.56846233230146,1.90788034188027
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,32.919649915302,0,276.855833333333,5883.95,0,0.558260036714836,143.284254032258,0
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,1.24820139860141,0,0,0,14.0053921568628,9.00732074438976,0,30.9742857142871
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,33.5214285714284,0,11.8432456140352,5.32824561403512,0,1.0602736726875,35.6662068965517,18.4295149638801
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,7.33261538461546,0,4.50424192665571,0,4.68100779220765,0.880950868550701,2.23760869565212,0
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,202.534285714285,0,0.889583333333468,69.4773809523807,9.07983578431345,0,4.68333704115681,2.06587301587295
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,0.0118236803519048,0,3.21835664335667,1.66912087912088,0,0,0,0
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,12.9999999999855,0,0.572466422466456,591.100000000006,0.018117133600133,0,0,1.81999999999825
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,8.11188811188811,0,0.406293706293899,250.400000000002,0.00797514770347019,2.5187339901478,0,8.46736373748604
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,0.0965830706606912,0,7.2045769230768,0.00810977489978957,0,0.0893704850358854,0.342237762237763,7.71210678531701
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,0.351666666666278,0,-13.2082352941177,22.4003571428569,0,3.31672820512816,0.614576766517076,1.2066666666673
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,-0.165802141608397,0.110338001969595,0.970130434782666,0.689108726487831,3.96918382352954,4.6681733746129,-0.0742285839160995,1.71500000000008
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,168.126505452821,0,0,15.9400000000001,0,2.46525725232626,0.0323433980990146,0
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,0.0199147290209799,0,0,1.32338345864657,0,2.28754679802956,0,0
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,-301.160860244233,0,56469.1,46491.5251428572,0,13.432724458204,339.730000000098,2045.76333333333
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,-301.160860244233,0,56469.1,46491.5251428572,0,13.432724458204,339.730000000098,2045.76333333333
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,-301.160860244233,0,56469.1,46491.5251428572,0,13.432724458204,339.730000000098,2045.76333333333
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,-301.160860244233,0,56469.1,46491.5251428572,0,13.432724458204,339.730000000098,2045.76333333333
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,NA,0,1.02033388067868,0,0.0649768398268323,0,0,-50.7988147641833
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,1.61536561264834,0,0,13.3599999999991,0,2.23805418719216,-0.000839160839167681,45.1960400444939
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,0.0409683749086615,0,0,0.963984962405932,0,3.49309899888756,-0.237982456140315,11.8875862068965
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,0.0196308129370638,0,0,0,0.141534559884573,2.01991133004929,1.46559157754013,16.0871813125695
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,4.38700854700855,0.159850364545566,0,0,0,0.121706604324958,-5.03639130434778,0
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,57.2845238095234,0,1.28826086956519,0,0,0.0518187197007253,0,30.3466666666667
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,7.54829721362231,0,1.68634782608702,0.012574930619772,0,2.04994188034192,179.799999999996,12.4216907675195
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,0.284523809522701,0,0.399972632731269,189.740000000002,0.0341565656565617,0,0,0.37714285714319
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,-301.160860244233,0,56469.1,46491.5251428572,0,13.432724458204,339.730000000098,2795.22790433815
"44","132:07:02","132:07:02","WW_R1","Exp60_27_IS3121","Exp60_27_IS3121",1,-301.160860244233,0,0,0,0,0,0,0.108870967741954
"45","132:08:01","132:08:01","WW_R1","Exp60_142_IS18919","Exp60_142_IS18919",1,-301.160860244233,0,56469.1,46491.5251428572,0,13.432724458204,339.730000000098,2803.13758175751
"46","132:08:02","132:08:02","WW_R1","Exp60_73_IS9468","Exp60_73_IS9468",1,-301.160860244233,0,56469.1,46491.5251428572,0,13.432724458204,339.730000000098,5264.31900056465
"47","132:09:01","132:09:01","WW_R1","Exp60_116_IS14571","Exp60_116_IS14571",1,3.30373913043472,0,0,8.29142857142828,0,3.95337708565071,0.10794071600042,25.524872080089
"49","133:10:01","133:10:01","WW_R1","Exp60_149_IS19455","Exp60_149_IS19455",1,0.0405489197369669,0,0,0,0.029100933866949,1.68060956618462,0,17.3963559510567
"52","133:11:02","133:11:02","WW_R1","Exp60_196_IS22609","Exp60_196_IS22609",1,4.76377192982454,0,3.05868131868131,0,0,1.85081196581196,108.920000000001,9.18780867630701
"53","133:12:01","133:12:01","WW_R1","Exp60_214_IS23903","Exp60_214_IS23903",1,0.986666666666596,0,0.117769230769246,-5.6700000000012,0.03960036075038,0.484273400317287,0,2.28000000000029
"54","133:12:02","133:12:02","WW_R1","Exp60_242_IS27390","Exp60_242_IS27390",1,2.6665634674921,0,0,48.5428571428572,0.367848039215495,1.49357063403781,0,9.49893214682988
"55","133:01:01","133:01:01","WW_R1","Exp60_199_IS22986","Exp60_199_IS22986",1,0.419945725915875,0,11.1148056923919,1.8,0,0,1.07907393976409,-49.8723998632948
"56","133:01:02","133:01:02","WW_R1","Exp60_91_IS11758","Exp60_91_IS11758",1,0.0969230769231217,-0.723391503613616,-4.86629870129876,9.09556243550034,0,1.54897536945816,0.349468475073311,2.76148609566183
"57","133:02:01","133:02:01","WW_R1","Exp60_160_IS20665","Exp60_160_IS20665",1,0.830480205278599,0.917953149001544,1.54529914529905,0,0,3.87323376623378,3.08394268774703,2.66271412680759
"58","133:02:02","133:02:02","WW_R1","Exp60_247_IS27855","Exp60_247_IS27855",1,1.51461538461533,0,0,6.50714285714275,0,2.11279838709679,0.05258999122037,14.4331034482759
"59","133:03:01","133:03:01","WW_R1","Exp60_275_IS30619","Exp60_275_IS30619",1,0.0378722164578292,0,0,0,0,0.943284615384652,-0.0191417278374421,0
"60","133:03:02","133:03:02","WW_R1","Exp60_226_IS24953","Exp60_226_IS24953",1,0.0699617287892205,0,-1.22082608695642,0,0.05399350649351,0,1.046131993007,8.40569521690764
"61","133:04:01","133:04:01","WW_R1","Exp60_299_IS33353","Exp60_299_IS33353",1,2.85087575259993,0.0834547619047729,0,0,0,0.084815504306742,-2.81381773399014,230.449999999997
"62","133:04:02","133:04:02","WW_R1","Exp60_169_IS20743","Exp60_169_IS20743",1,17.0353146853151,0,0.860645867542424,0,0,0,0,6.92852941176465
"63","133:05:01","133:05:01","WW_R1","Exp60_262_IS29872","Exp60_262_IS29872",1,5.39853190287977,0,3.28762254901962,0,0,2.02287430478301,237.189285714286,8.93523915461625
"64","133:05:02","133:05:02","WW_R1","Exp60_206_IS23178","Exp60_206_IS23178",1,NA,0,0.219658119658095,-46.6857142857142,0.0273471139971236,0.514945741758254,0,0
"65","133:06:01","133:06:01","WW_R1","Exp60_70_IS8882","Exp60_70_IS8882",1,-0.879999999999894,0,0.70483516483519,39.1599999999996,0.0238769582618754,0.166109292811223,0,0
"66","133:06:02","133:06:02","WW_R1","Exp60_107_IS14298","Exp60_107_IS14298",1,0.0375075670598096,0,-0.374475524475597,0,0,0,0,12.1594215795328
"67","133:07:01","133:07:01","WW_R1","Exp60_110_IS14351","Exp60_110_IS14351",1,4.73964912280698,0,16.4266483516484,8.17181818181813,0,0.0857199222006097,0,16.2430255839822
"68","133:07:02","133:07:02","WW_R1","Exp60_13_IS2367","Exp60_13_IS2367",1,2.32500000000021,0.407516561577143,1.02326923076921,0,0,2.23144615384617,0.795695652173935,0
"69","133:08:01","133:08:01","WW_R1","Exp60_161_IS20681","Exp60_161_IS20681",1,1.78371647509569,0,75.9150000000008,3.17939393939362,0,0.603498723430441,0.0223275232230299,18.4696551724137
"70","133:08:02","133:08:02","WW_R1","Exp60_264_IS29911","Exp60_264_IS29911",1,0.0237129858727826,0,0,0,0,0.906350672121562,0,0
"71","133:09:01","133:09:01","WW_R1","Exp60_45_IS4776","Exp60_45_IS4776",1,NA,0,0,0,0.909985552115581,0.289354947860597,1.7912931844275,15.6972814238042
"72","133:09:02","133:09:02","WW_R1","Exp60_61_Phule Chitra","Exp60_61_Phule Chitra",1,18.2054435483871,0,0,17.0980862627197,0,18.6815563909773,32.0475417130144,488.383333333333
"73","134:10:01","134:10:01","WW_R2","Exp60_135_IS18800","Exp60_135_IS18800",2,11.0791208791211,0,0,0,0,0,0,8.76213235294113
"74","134:10:02","134:10:02","WW_R2","Exp60_178_IS21401","Exp60_178_IS21401",2,6.12124505928858,112.399999999994,2.46418988648079,0,0,2.01243548387093,32.3119047619047,14.5253659621802
"75","134:11:01","134:11:01","WW_R2","Exp60_306_SSM1057","Exp60_306_SSM1057",2,55.1000000000058,0,0.398441558441487,-44.8649999999999,0.0137079473985133,-3.96781538461538,0,0
"76","134:11:02","134:11:02","WW_R2","Exp60_232_IS25702","Exp60_232_IS25702",2,-3.08242424242437,0,0.416929824561342,35.9654545454543,0.211298701298811,0.534279799944427,0,10.2200000000001
"77","134:12:01","134:12:01","WW_R2","Exp60_201_IS23048","Exp60_201_IS23048",2,0.0446303376167336,0,-36.0486012987012,0,0.411830882353124,0,0,17.5962625139044
"78","134:12:02","134:12:02","WW_R2","Exp60_57_IS6413","Exp60_57_IS6413",2,0.137068965517292,0,-2.89917948717946,0,0.0100960317460536,1.03806022947493,0,0
"79","134:01:01","134:01:01","WW_R1","Exp60_111_IS14414","Exp60_111_IS14414",1,3.54404761904776,0.584092033438944,0.850096153846151,0,0,5.63178021978022,1.18591153846154,-5539.79556182947
"80","134:01:02","134:01:02","WW_R1","Exp60_88_IS11026","Exp60_88_IS11026",1,-301.160860244233,0,54.5751428571427,2.11954545454548,0,0.637374576271185,0.0343131933913306,-59.2093848257008
"81","134:02:01","134:02:01","WW_R1","Exp60_280_IS31195","Exp60_280_IS31195",1,NA,0,0,0,0,0.679386218393999,0.0833504273504201,0
"82","134:02:02","134:02:02","WW_R1","Exp60_174_IS20792","Exp60_174_IS20792",1,433.13,0,0,0,0.0269660894660906,0.175226884862654,16.1871428571429,0
"83","134:03:01","134:03:01","WW_R1","Exp60_250_IS29233","Exp60_250_IS29233",1,-301.160860244233,0,56469.1,46491.5251428572,0,13.432724458204,339.730000000098,2809.00983982202
"84","134:03:02","134:03:02","WW_R1","Exp60_221_IS24503","Exp60_221_IS24503",1,-301.160860244233,0,56469.1,46491.5251428572,0,13.432724458204,339.730000000098,2810.13564627364
"85","134:04:01","134:04:01","WW_R1","Exp60_19_IS2787","Exp60_19_IS2787",1,-301.160860244233,0,56469.1,46491.5251428572,0,0,0,0.0387701612903437
"86","134:04:02","134:04:02","WW_R1","Exp60_193_IS22330","Exp60_193_IS22330",1,-301.160860244233,0,56469.1,46491.5251428572,0,13.432724458204,339.730000000098,2786.72725917686
"87","134:05:01","134:05:01","WW_R2","Exp60_264_IS29911","Exp60_264_IS29911",2,57.0109090909092,0,2.23714285714292,19.5463636363636,0.0176839826839768,0.275517186673719,-0.0439849624060378,0
"93","134:08:01","134:08:01","WW_R2","Exp60_122_IS15466","Exp60_122_IS15466",2,0.0267799603381687,0,0,0,0,0.726655172413786,0,0
