"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-10-02","2023-10-03","2023-10-04","2023-10-05","2023-10-06","2023-10-07","2023-10-08","2023-10-09"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,0.0957937561763255,0.777611018333479,0.754101178147876,0.837455708725118,0.78653380174087,0.21987872685953,0.327664782656983,0.89792515002831
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,0.410808583815629,0.102052536519968,2.220377029858,0.141872754870685,0.286096678893799,0.311469137532556,0.677586051707712,0.201831138299139
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,0.404927452954476,0.102951661469683,0.831008117188273,0.275640834020131,0.653742518405636,1.30243559410233,0.470818751921545,0.513321244575023
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,0.318131258729203,0.55751538601709,0.450559919183104,0.0434458999690543,0.0701934340346657,0.745491994938975,0.618676569729508,0.756116319406692
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,0.75556999701872,0.168379423134891,0.798869620126562,3.4407372050679,0.883876989602781,0.736718087324697,0.608608858349643,0.445034868415761
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,-0.0325813300106161,0.857846480835768,0.573663425449376,0.678926799283366,0.574373081110005,0.559950073784314,0.468045756896591,0.588879609894073
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,0.199316940348915,1.21904965918491,0.475889226832333,0.607587202749273,0.96388389182799,-0.204862383667372,0.421308695058526,0.418922201524843
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,0.0291776292557592,0.08579080582281,1.05288677450088,0.411632907070232,-0.151770306564647,-0.156458542140569,0.34936913783389,0.543381420833033
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,0.0470712691916289,0.495723752487379,0.389715939471924,0.574571736580999,0.561674288440278,0.815407509402333,0.494903375226515,0.554966018980544
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,-0.0833231668604688,0.0406406153843403,0.647330677006043,0.272321909969773,0.0288309049558249,0.153423032229774,0.102990692239913,0.85543899958915
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,-0.473460073647008,0.225114942806341,0.340939661823527,0.0103762989936272,0.0238567433031307,1.02297377645001,0.31865436321195,0.504506277822962
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,0.0491389539478798,0.504369848798003,0.79028014081691,0.591497992441808,0.911579088112509,0.81518314379221,0.787864169891281,0.829343185449266
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,1.30171121848825,0.000593828431855339,0.328636028904968,0.84752164919343,0.201024891820886,1.00731208054293,0.402470722771589,0.287026276917419
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,0.28055446071768,0.00166203227768782,0.630505081909181,1.02878548739483,-2.64676562689874,0.958626449227089,0.395134828076548,0.319367463297276
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,-0.00859209934699802,0.130965434408374,0.77765595767567,1.17199951181873,1.13373557021199,0.518675612435538,0.369426136794043,0.788208110167164
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,-0.00859209934699802,0.130965434408374,0.77765595767567,1.17199951181873,1.13373557021199,0.518675612435538,0.369426136794043,0.788208110167164
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,-0.00859209934699802,0.130965434408374,0.77765595767567,1.17199951181873,1.13373557021199,0.518675612435538,0.369426136794043,0.788208110167164
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,-0.00859209934699802,0.130965434408374,0.77765595767567,1.17199951181873,1.13373557021199,0.518675612435538,0.369426136794043,0.788208110167164
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,0.0552198789682765,0.108241305039143,0.912438005087961,1.86056491384512,0.46936533693444,0.603679936340633,0.125778290745775,0.288082558321604
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,0.405162365357774,-0.0181347920915275,0.394392300138763,0.75144765596398,0.0762810868177968,0.968304442505772,0.464363281892681,0.960977995488904
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,0.0457152159123479,-0.0116634615730049,0.403625657731195,0.774246969457019,0.22277445426991,0.990351807818112,0.473458676535139,0.0932575102808147
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,0.0758595326231718,0.0692597995838266,0.714298762192233,0.180050679096756,0.464327317552742,0.74188696425581,0.759728351097741,0.995020413461172
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,0.249628975322245,0.562578326749614,0.0683126737153873,-1.04378578676615,0.0409102149499397,0.402026658630634,0.622285908467062,0.465321685273736
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,0.115817099662883,0.122604230855716,0.542526315746803,0.244530348968708,0.261939197403785,-0.0685823849354622,0.393733343715298,0.110584888828457
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,0.285496897599914,0.0738993119208181,0.858474033911732,0.159227263587373,0.302499660972462,0.871582708340084,0.57453349072353,0.89907392318946
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,0.0616173920097593,0.145081944275549,1.10972115030575,0.519770177388042,0.468850990377217,0.399975041674785,0.0732279782952079,0.496931703919234
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,-0.00859209934699802,0.130965434408374,0.77765595767567,1.17199951181873,1.13373557021199,0.518675612435538,0.369426135657664,0.969085170365007
"44","132:07:02","132:07:02","WW_R1","Exp60_27_IS3121","Exp60_27_IS3121",1,-0.00859209934699802,-0.111723052806923,0.256379024592704,3.20237689491736e-15,-3.11494417700056e-14,-3.14655530104183e-09,-1.46223436420716e-10,0.643808455426113
"45","132:08:01","132:08:01","WW_R1","Exp60_142_IS18919","Exp60_142_IS18919",1,-0.00859209934699802,0.130965434408374,0.77765595767567,1.17199951181873,1.13373557021199,0.518675612435538,0.369426135654544,0.969427385639238
"46","132:08:02","132:08:02","WW_R1","Exp60_73_IS9468","Exp60_73_IS9468",1,-0.00859209934699802,0.130965434408374,0.77765595767567,1.17199951181873,1.13373557021199,0.518675612435538,0.369424733890734,1.05100373682238
"47","132:09:01","132:09:01","WW_R1","Exp60_116_IS14571","Exp60_116_IS14571",1,0.225665948447238,0.357938929382054,0.421804830083652,0.210184157097903,-0.0108996119123091,1.25679418174033,-0.307745744618233,1.08776272718759
"49","133:10:01","133:10:01","WW_R1","Exp60_149_IS19455","Exp60_149_IS19455",1,0.119156815114467,0.0774732927312208,0.301634403527086,0.192272934249256,0.453864253358485,0.875433352160004,0.731016900499935,0.955572863186869
"52","133:11:02","133:11:02","WW_R1","Exp60_196_IS22609","Exp60_196_IS22609",1,-0.172526178566894,0.115909506721659,0.943801082471145,0.242901621202694,0.273897581351934,0.791242232678135,0.599055667020136,1.01517224624096
"53","133:12:01","133:12:01","WW_R1","Exp60_214_IS23903","Exp60_214_IS23903",1,0.106542097229264,0.138389341645346,0.868086832087895,0.442324947353862,0.0664548846190673,0.596455697807766,0.141648612979412,0.467655590893839
"54","133:12:02","133:12:02","WW_R1","Exp60_242_IS27390","Exp60_242_IS27390",1,-0.00827286383505337,0.118329788691709,0.393503929217952,0.514947735206442,0.0856761106066179,0.387644853622062,0.355346519557323,0.760462724282768
