"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-10-02","2023-10-03","2023-10-04","2023-10-05","2023-10-06","2023-10-07","2023-10-08","2023-10-09"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,6930.82227778795,913.89349139228,801.244855022425,1050.58813125481,1438.95832118332,7854.78948434944,2173.70784040352,1098.04860600243
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,22804.7823472017,36746.4064957848,-225742.359790156,1212160.01344878,108889.972562078,416166.998316286,-2148518.07260132,33604.1380513187
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,7227.74869910462,6857.87546471684,-40633.3472168557,32004.9952898596,44070.3744625238,7141.88482341357,28124.9144620987,13043.4186688411
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,-33631.5727781732,13611.0087074209,18698.3316208362,42203.7837106759,14394.9529156755,-21202.1186833331,19436.1853141681,13041.9814567953
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,17589.1516871402,6547.75988335645,74287.8707930912,6405.33965491929,33202.4676199594,-8320.16530387758,8813.60942817559,12619.458148306
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,-53146.4975110457,56918.0494242453,12728.657946324,23727.6625286877,55007.7004916497,22893.7459858507,11233.2262891441,17150.4929165738
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,5455.6070386637,-2405.26067241878,1395.13179046671,1035.68368526174,-454.938804685636,326.605283183064,1480.76880164461,2653.14779714304
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,-26178.126249438,408.541446396389,164.723781590278,916.096101428431,-1635.4596093476,-2614.20934131504,1191.88392683902,766.459513879504
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,-27670.6014737528,1468.17087817491,434.299852349282,902.72007774933,161.348665973909,676.12565548607,2916.31710699584,3201.5207532634
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,-1506.97323894497,654.877745970247,1059.43578328372,158.504699782303,382.027672183874,72.1309052779146,480.884445058229,1830.99978101704
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,-59.033552794004,473.339771955705,-5475.88620012366,-1213.20665353448,46.988547630705,1187.20656168734,1370.1840913303,885.803911510239
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,37612.7082018691,544.623278032554,608.437177152599,862.938921307364,347.318527116075,862.994175605099,773.465496811616,822.149074355662
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,3089394.72035219,-23012.159562171,909.539969571097,1332.69231197446,24.5041240830899,577.066640880603,340.976512480788,2315.46302692746
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,212.365637125745,498.071263734476,804.282579634721,-1591.54360865633,-2.83578440485049,453.460614335697,417.361768831675,2230.19697697871
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,-621383.993264413,279649.233707218,664268.883932941,243748.754794155,-67693.3375114559,134311.102103369,7087.3884598486,96019.1776881201
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,-621383.993264413,279649.233707218,664268.883932941,243748.754794155,-67693.3375114559,134311.102103369,7087.3884598486,96019.1776881201
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,-621383.993264413,279649.233707218,664268.883932941,243748.754794155,-67693.3375114559,134311.102103369,7087.3884598486,96019.1776881201
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,-621383.993264413,279649.233707218,664268.883932941,243748.754794155,-67693.3375114559,134311.102103369,7087.3884598486,96019.1776881201
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,20982.3046194857,864.051178947477,284.820818804179,-167.41857680195,143.860356127833,2018.40418084854,2935.12170032498,3002.97871293139
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,3123.34429527493,385.145443193862,643.953157525228,294.523433904993,46.4315103017667,393.485990017993,283.235783281394,8392.50981490511
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,-1743.25600546898,928.375565182906,933.698941080844,322.043566940789,146.52408756919,726.396186520766,469.349077966532,207148174.830852
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,2981.17886007852,827.975231690657,2356.11640915836,564.668640949762,223.441500014495,619.370446055792,1093.8923985142,6248.34770894578
