"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-10-02","2023-10-03","2023-10-04","2023-10-05","2023-10-06","2023-10-07","2023-10-08","2023-10-09"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,345.29788800978,345.29788800978,345.29788800978,345.29788800978,345.29788800978,345.29788800978,345.29788800978,345.29788800978
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,37850.064823456,37850.064823456,37850.064823456,37850.064823456,37850.064823456,37850.064823456,37850.064823456,37850.064823456
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,1094.39667000496,1094.39667000496,1094.39667000496,1094.39667000496,1094.39667000496,1094.39667000496,1094.39667000496,1094.39667000496
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,1859.41735231408,1859.41735231408,1859.41735231408,1859.41735231408,1859.41735231408,1859.41735231408,1859.41735231408,1859.41735231408
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,2488.21583899553,2488.21583899553,2488.21583899553,2488.21583899553,2488.21583899553,2488.21583899553,2488.21583899553,2488.21583899553
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,1596.42990106664,1596.42990106664,1596.42990106664,1596.42990106664,1596.42990106664,1596.42990106664,1596.42990106664,1596.42990106664
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,239.574049764536,239.574049764536,239.574049764536,239.574049764536,239.574049764536,239.574049764536,239.574049764536,239.574049764536
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,65.4482270350821,65.4482270350821,65.4482270350821,65.4482270350821,65.4482270350821,65.4482270350821,65.4482270350821,65.4482270350821
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,86.6348116454531,86.6348116454531,86.6348116454531,86.6348116454531,86.6348116454531,86.6348116454531,86.6348116454531,86.6348116454531
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,55.3900550412936,55.3900550412936,55.3900550412936,55.3900550412936,55.3900550412936,55.3900550412936,55.3900550412936,55.3900550412936
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,49.1233921951925,49.1233921951925,49.1233921951925,49.1233921951925,49.1233921951925,49.1233921951925,49.1233921951925,49.1233921951925
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,1919.84594187331,1919.84594187331,1919.84594187331,1919.84594187331,1919.84594187331,1919.84594187331,1919.84594187331,1919.84594187331
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,156693.776588983,156693.776588983,156693.776588983,156693.776588983,156693.776588983,156693.776588983,156693.776588983,156693.776588983
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,55.0385131969281,55.0385131969281,55.0385131969281,55.0385131969281,55.0385131969281,55.0385131969281,55.0385131969281,55.0385131969281
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,1057.580527935,1057.580527935,1057.580527935,1057.580527935,1057.580527935,1057.580527935,1057.580527935,1057.580527935
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,288.003503676928,288.003503676928,288.003503676928,288.003503676928,288.003503676928,288.003503676928,288.003503676928,288.003503676928
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,17180787.3518122,17180787.3518122,17180787.3518122,17180787.3518122,17180787.3518122,17180787.3518122,17180787.3518122,17180787.3518122
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,201.714907187003,201.714907187003,201.714907187003,201.714907187003,201.714907187003,201.714907187003,201.714907187003,201.714907187003
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,167.238975588155,167.238975588155,167.238975588155,167.238975588155,167.238975588155,167.238975588155,167.238975588155,167.238975588155
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,7679.59186563323,7679.59186563323,7679.59186563323,7679.59186563323,7679.59186563323,7679.59186563323,7679.59186563323,7679.59186563323
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,113.002515228035,113.002515228035,113.002515228035,113.002515228035,113.002515228035,113.002515228035,113.002515228035,113.002515228035
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,421.947242867253,421.947242867253,421.947242867253,421.947242867253,421.947242867253,421.947242867253,421.947242867253,421.947242867253
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916,31283.8574836916
