"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-10-02","2023-10-03","2023-10-04","2023-10-05","2023-10-06","2023-10-07","2023-10-08","2023-10-09"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,23.6253508991859,3.3593682404751,4.55673858925999,5.43769463532228,8.63190995336717,70.1794607861892,5.41859157444886,6.74887933077744
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,98.8466077895691,115.528238697562,8247.33172868666,5583.62198590256,837.396295349102,1567.3038191683,36343.4735164225,275.998329771691
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,22.5054649239032,28.3815674040481,732.546451389865,212.679673237351,52.610092342529,680.48668778706,179.72498871731,51.2088048478659
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,588.099203678489,118.77429914836,148.002772033766,337.724382734666,25.5395199809596,480.651151055674,191.378544932245,96.9861269931967
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,127.639270950144,35.2524906828459,882.631207948494,205.518410940063,505.362604936222,193.091419399006,48.4743635104417,87.9305212128458
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,223.079485133566,342.158972706927,97.8282633994477,151.725733397137,582.207854799281,273.529238708098,52.8632697762491,52.3533394651962
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,24.6889300932931,29.6857164571901,11.2273538217411,11.8713647510901,12.3313095115363,9.15038477030806,9.00782454757213,7.42211494576463
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,95.9009176634716,2.79917594514405,1.86974285541144,12.796449118388,7.30800537851854,8.05377470964467,5.14136110287509,2.12722197674394
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,126.10555345737,9.61433279984276,4.07387548448497,15.1006623052389,0.444961193717049,6.29707754822945,10.8076394930889,17.4248219471471
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,8.13335089833422,2.38564253432235,9.65360102577588,0.799572842754156,1.01841061430791,0.360562704015967,1.36806139660691,21.1336400231364
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,0.930229623536491,4.16737982492053,92.7126389742137,28.5347089490289,0.0782284984849414,15.1217223228143,2.12548640233846,3.15518358040009
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,141.095342306248,5.11525237453945,5.96580944857014,2.25166908946904,4.37495966494056,6.63721699467469,6.0450444759617,4.35008643016615
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,59302.101651598,0.608169337523114,10.8046147681474,11.5041784878275,0.135956447350162,7.52554210765346,1.20440902686432,13.9336219048551
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,0.787418822419926,1.74331349296166,6.5154540313391,24.9725728774038,0.112879949627758,5.44402412289973,3.57789458145615,13.3734348567567
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,2701.28685813026,1473.37919367298,13623.74820567,7065.37228623969,1048.6923378448,1690.37549859779,32.4729660629593,1867.9270741997
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,2701.28685813026,1473.37919367298,13623.74820567,7065.37228623969,1048.6923378448,1690.37549859779,32.4729660629593,1867.9270741997
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,2701.28685813026,1473.37919367298,13623.74820567,7065.37228623969,1048.6923378448,1690.37549859779,32.4729660629593,1867.9270741997
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,2701.28685813026,1473.37919367298,13623.74820567,7065.37228623969,1048.6923378448,1690.37549859779,32.4729660629593,1867.9270741997
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,80.2653044635502,5.81904688233784,2.74665833535379,6.46143023117958,0.266286056765386,20.0677747034366,11.0206432215868,8.72833032190351
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,17.9070474737776,0.624362709985405,8.09205686469136,4.20243543170606,0.0760091954965064,5.04340737991755,1.27873606918096,109.597623776526
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,8.46639990870751,1.67309399332846,4.88609695906349,2.62569432967701,0.294151330381053,8.97082244368778,4.86277731024077,1108660.92582678
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,10.5875605669332,4.644819167215,21.6792490557054,4.65244924695033,0.506488364262478,4.71515207861802,7.57564052647059,66.9463655602868
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,8.55503133073537,6.01607789079215,0.790177420745279,3.34487625781964,0.0613021186256603,2.63249609510575,21.0769977577775,11.8114216884427
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,35.5686249554165,5.09901310929621,3.80182833019234,3.96371181281249,0.478931798119573,2.16501082476009,4.8640797266319,516.186344857719
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,11.3660302828075,4.00423126267432,8.78308074582285,0.455291176866397,1.70206021569694,5.62605770002122,9.69954238320456,28.2234860856197
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,32.3069679974727,3.43238921541899,1.22655939472717,30.3293218143357,0.469199291116183,6.95085798730913,4.79958079508482,1.27082776663618
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,2701.28685813026,1473.37919367298,13623.74820567,7065.37228623969,1048.6923378448,1690.37549859779,32.4729660628727,5812.51973097734
"44","132:07:02","132:07:02","WW_R1","Exp60_27_IS3121","Exp60_27_IS3121",1,2701.28685813026,2180.18503540698,138713.359375602,4.50782751679463e-45,4.20847677728516e-100,5.59092509396629e-96,1.5594626352581e-42,3.42761949651003
"45","132:08:01","132:08:01","WW_R1","Exp60_142_IS18919","Exp60_142_IS18919",1,2701.28685813026,1473.37919367298,13623.74820567,7065.37228623969,1048.6923378448,1690.37549859779,32.4729660628724,5830.27633677176
"46","132:08:02","132:08:02","WW_R1","Exp60_73_IS9468","Exp60_73_IS9468",1,2701.28685813026,1473.37919367298,13623.74820567,7065.37228623969,1048.6923378448,1690.37549859779,32.4729659560602,22161.3565571202
"47","132:09:01","132:09:01","WW_R1","Exp60_116_IS14571","Exp60_116_IS14571",1,258.512554895982,0.979434655288213,30.9073832480939,13.6395246146771,0.297515045358756,23.2330136876882,4.68343483332982,3205.53634720091
"49","133:10:01","133:10:01","WW_R1","Exp60_149_IS19455","Exp60_149_IS19455",1,3.22677137900533,6.11259157301046,29.1998381641687,8.77121921645647,0.362010639280125,33.865526034502,7.907776716361,39.7125590094812
"52","133:11:02","133:11:02","WW_R1","Exp60_196_IS22609","Exp60_196_IS22609",1,33.2192998613228,4.68763853181181,7.80315275493575,0.328396132956944,1.89175062622038,5.124989126489,10.1622497977733,139.615817888813
"53","133:12:01","133:12:01","WW_R1","Exp60_214_IS23903","Exp60_214_IS23903",1,27.8179634060551,4.54072736723326,2.35615242992018,13.1275525834679,5.0876089501579,47.394540376839,7.69812612366434,2.88201124432619
"54","133:12:02","133:12:02","WW_R1","Exp60_242_IS27390","Exp60_242_IS27390",1,33.7613875411968,5.65345270757875,6.45381283883282,13.678454854,6.94430569808492,8.68024158571254,13.8473994205693,24.0163659491516
"55","133:01:01","133:01:01","WW_R1","Exp60_199_IS22986","Exp60_199_IS22986",1,6.92143271351946,2.72996009287092,8.85301619753743,0.882847321519334,2.6074993019255,80.5404814613173,1.45191137682683,14.0727344558411
"56","133:01:02","133:01:02","WW_R1","Exp60_91_IS11758","Exp60_91_IS11758",1,12.2723935931355,322.673328838227,3.7358738132514,6.92233209501751,0.720990040331938,8.13402166381594,1.72879372998171,6.53352683349827
"57","133:02:01","133:02:01","WW_R1","Exp60_160_IS20665","Exp60_160_IS20665",1,9.01768756574066,24.3203618479525,13.5422930482429,39.8916609172774,9.42429064957511,20.5627182514249,16.2114478085495,7.56431207827966
"58","133:02:02","133:02:02","WW_R1","Exp60_247_IS27855","Exp60_247_IS27855",1,5.46463397409022,3.37655418609807,9.62859329969746,2.92608233372073,0.191157576915434,5.47035912161654,0.964357636547059,24.6441558987198
"59","133:03:01","133:03:01","WW_R1","Exp60_275_IS30619","Exp60_275_IS30619",1,8.69798744473623,2.11174059125042,1.99287798169466,2.23368652739473,0.16917326576633,7.44931283342815,5.49175346354142,12.6501703457168
"60","133:03:02","133:03:02","WW_R1","Exp60_226_IS24953","Exp60_226_IS24953",1,1.10967334008725,5.25628295857115,6.62324265485492,2.71196687300524,0.261721463690561,2.52649628298618,5.00626258548341,20.6682377713949
"61","133:04:01","133:04:01","WW_R1","Exp60_299_IS33353","Exp60_299_IS33353",1,8.96799377168822,0.720445228352829,0.76111528694909,2.59039516398739,0.0348761606564626,1.25655679064137,5.84839971798174,7.36800065538868
"62","133:04:02","133:04:02","WW_R1","Exp60_169_IS20743","Exp60_169_IS20743",1,25.1508893219887,5.09115266103546,2.36245267930303,4.84090257038129,0.407002398887686,1.58058607119871,3.4729912835304,8.18616088236395
"63","133:05:01","133:05:01","WW_R1","Exp60_262_IS29872","Exp60_262_IS29872",1,32.2491593427055,15.7430050473104,9.10260607311098,3.61895020218484,1.53546738808262,148.184707250294,79.3763299467252,1201.94975191995
"64","133:05:02","133:05:02","WW_R1","Exp60_206_IS23178","Exp60_206_IS23178",1,134.60519268446,6.60310603374894,0.790864319732388,11.0148195504085,0.135541780158286,9.60951534443873,7.08842398634997,1.00496297931029
"65","133:06:01","133:06:01","WW_R1","Exp60_70_IS8882","Exp60_70_IS8882",1,50.271549257536,79.5294205811036,5.70753249085616,15.7412944209204,0.217917904784899,3.58886641786993,52.8213647252885,110.454826157507
"66","133:06:02","133:06:02","WW_R1","Exp60_107_IS14298","Exp60_107_IS14298",1,7.60434719021793,4.04541479353049,10.9113848139367,2.08858415589077,2.17894158435198,0.282127004938937,2.51055554931443,31.6323034386286
"67","133:07:01","133:07:01","WW_R1","Exp60_110_IS14351","Exp60_110_IS14351",1,334.13138831528,95.9524173786181,114.943502928854,367.741501748658,0.557021122924466,27.2498110778349,562.794299019019,42.5094678125513
"68","133:07:02","133:07:02","WW_R1","Exp60_13_IS2367","Exp60_13_IS2367",1,40.1608689030488,1.30463447841467,3.89767238725337,2.9735072967014,0.650143819060204,5.95822103312085,3.12435522068086,3.09917025490868
"69","133:08:01","133:08:01","WW_R1","Exp60_161_IS20681","Exp60_161_IS20681",1,15.930928216607,3.59544287587019,10.6272962036652,2.90907752276701,0.195344547307565,3.69109319525692,0.689189818311388,116.472120419253
"70","133:08:02","133:08:02","WW_R1","Exp60_264_IS29911","Exp60_264_IS29911",1,3.93695787062397,4.8793335543065,3.15731400025072,4.50041428155118,0.501236103165863,4.93232338115752,4.8620916397584,8.60012490932739
"71","133:09:01","133:09:01","WW_R1","Exp60_45_IS4776","Exp60_45_IS4776",1,314.43795648399,5.42670310083967,10.8376661961749,5.39415819526107,1.56630499710791,2.60607144908784,8.29294286165068,64.7257651609964
"72","133:09:02","133:09:02","WW_R1","Exp60_61_Phule Chitra","Exp60_61_Phule Chitra",1,165.71110787469,37.7002330438332,91.4214007607993,2627.08684853551,62.7933900258447,2147.86112928559,3777.56049022434,1298.17509825725
"73","134:10:01","134:10:01","WW_R2","Exp60_135_IS18800","Exp60_135_IS18800",2,12.1451691371151,6.17421438555402,1.89370801167245,6.34375290680457,0.692827806912444,1.49267657759502,4.3931888967924,11.3458220382335
"74","134:10:02","134:10:02","WW_R2","Exp60_178_IS21401","Exp60_178_IS21401",2,63.9251637445126,10.5034858378797,7.46561731110316,3.69320198152763,1.33917531525619,4.80593572771957,11.1509399801777,25.3880551332497
"75","134:11:01","134:11:01","WW_R2","Exp60_306_SSM1057","Exp60_306_SSM1057",2,213.464928313861,6.88252486568425,1.25844496623775,8.6160805304221,0.147399094665406,16.699292966618,9.16157188846246,8.60326725824359
"76","134:11:02","134:11:02","WW_R2","Exp60_232_IS25702","Exp60_232_IS25702",2,10.9838590350801,10.9579143821593,6.74343404272363,21.7819619308071,0.170200275080542,3.77652198115913,9.63759113782904,26.8759761638596
"77","134:12:01","134:12:01","WW_R2","Exp60_201_IS23048","Exp60_201_IS23048",2,4.13095977767486,4.57442389573078,12.6806277753322,0.948988183671916,5.01002744991835,0.403348771988502,3.45626340975129,44.7055212506816
"78","134:12:02","134:12:02","WW_R2","Exp60_57_IS6413","Exp60_57_IS6413",2,6.04337010361066,9.72294413232435,22.7526643879966,8.93059142157658,0.0878897796398608,9.43650132955034,8.7628988127372,1.14322118096781
