"","unit","old_unit","Treatment","Genotype","G..Alias","Replicates","2023-10-02","2023-10-03","2023-10-04","2023-10-05","2023-10-06","2023-10-07","2023-10-08","2023-10-09"
"1","131:10:01","131:10:01","WW_R1","Exp60_125_IS15752","Exp60_125_IS15752",1,-0.0322062860201904,-0.360392438979755,0.0325450632805385,-0.518259213228741,-0.845737875748295,3.31178019574267,-0.332067442170165,-0.612189016761979
"2","131:10:02","131:10:02","WW_R1","Exp60_60_IS6828","Exp60_60_IS6828",1,45.5834883620225,23.5843250871019,1861.53055653234,26.8042929480485,4.98511105695806,1104.06285962253,3652.0785904375,-0.507647335734205
"3","131:11:01","131:11:01","WW_R1","Exp60_146_IS19053","Exp60_146_IS19053",1,8.78992344172652,5.29838817935614,73.8408142164554,8.71947093784026,-27.454435129022,42.4844614886087,-14.7394380918471,-0.363696497161307
"4","131:11:02","131:11:02","WW_R1","Exp60_8_IS2156","Exp60_8_IS2156",1,46.6282579085982,6.89976679989769,17.4497365436405,41.1439710960408,0.971897880347768,53.9024488444765,1.94586895699984,1.05958629438194
"5","131:12:01","131:12:01","WW_R1","Exp60_29_IS3443","Exp60_29_IS3443",1,-13.8062627692558,1.03863935878038,-150.667288319827,-11.7983879124829,-54.2228940444618,2.41845943065186,5.20996953974539,2.37805934245415
"6","131:12:02","131:12:02","WW_R1","Exp60_46_IS4821","Exp60_46_IS4821",1,3.91560164356033,-26.1099083008609,10.0628756611346,-24.5774566771586,-10.8724618251688,4.49061860579431,10.2265510248101,-5.38025508182851
"19","131:07:01","131:07:01","WW_R1","Exp60_179_IS21425","Exp60_179_IS21425",1,1.66755583820325,3.19863095512181,-0.0131499841993175,0.226273205200311,1.40841905207816,1.71590795541406,0.382731534288134,0.864643401075797
"20","131:07:02","131:07:02","WW_R1","Exp60_14_IS2398","Exp60_14_IS2398",1,0.261432860119232,0.0389212123338989,-0.233468405705022,0.0144383331002879,-9.69984561012046,0.943066398300125,-0.451570413986998,0.0820774206399677
"21","131:08:01","131:08:01","WW_R1","Exp60_243_IS27490","Exp60_243_IS27490",1,0.734787230862229,0.354882513327963,-0.185684033807157,0.0487425067558025,0.104303719603405,0.318100023783597,2.64634573030201,-2.89011620878694
"22","131:08:02","131:08:02","WW_R1","Exp60_272_IS30443","Exp60_272_IS30443",1,0.911035878271753,0.0357954861272512,0.0315709173674077,0.751030738304292,0.0150597790564579,0.336643208347017,0.560790900135619,-2.69820464132046
"23","131:09:01","131:09:01","WW_R1","Exp60_260_IS29691","Exp60_260_IS29691",1,0.254317883181262,0.0162176540473304,2.76962584030499,1.20905158385118,0.00126728877191343,0.0464035875960448,1.05889668742997,-0.0513513714533657
"24","131:09:02","131:09:02","WW_R1","Exp60_77_IS9713","Exp60_77_IS9713",1,0.0250079055395042,-0.504233269224656,0.381159652337385,-0.627459776731577,0.110590931659696,0.0640939798999812,0.229908865654011,-0.465030913456207
"25","132:10:01","132:10:01","WW_R1","Exp60_121_IS15443","Exp60_121_IS15443",1,-3328.96083613987,-0.190973128970372,-0.00492922404695716,-1.44315310505352,0.00588532084589788,-0.124105222597187,1.23257278437037,0.830745424199856
"26","132:10:02","132:10:02","WW_R1","Exp60_276_IS30748","Exp60_276_IS30748",1,0.740242574326602,0.982224035846316,-0.126024752102289,0.652691356922515,0.00666563624867437,0.124967473289055,0.660045383877967,0.802354525160981
"27","132:11:01","132:11:01","WW_R1","Exp60_139_IS18874","Exp60_139_IS18874",1,179.481260997906,-111.761552036082,-497.87983512481,11.4073678821464,91.7427488489281,11.7745262118009,2.25807371143644,67.5960083620858
"28","132:11:02","132:11:02","WW_R1","Exp60_9_IS2179","Exp60_9_IS2179",1,179.481260997906,-111.761552036082,-497.87983512481,11.4073678821464,91.7427488489281,11.7745262118009,2.25807371143644,67.5960083620858
"29","132:12:01","132:12:01","WW_R1","Exp60_82_IS10801","Exp60_82_IS10801",1,179.481260997906,-111.761552036082,-497.87983512481,11.4073678821464,91.7427488489281,11.7745262118009,2.25807371143644,67.5960083620858
"30","132:12:02","132:12:02","WW_R1","Exp60_112_IS14446","Exp60_112_IS14446",1,179.481260997906,-111.761552036082,-497.87983512481,11.4073678821464,91.7427488489281,11.7745262118009,2.25807371143644,67.5960083620858
"31","132:01:01","132:01:01","WW_R1","Exp60_31_IS3511","Exp60_31_IS3511",1,0.56676360193015,0.0576623100317493,0.0381085452118245,0.0226073835448707,0.156802639718167,-1.69447018768973,3.62421047729179,1.05072823826754
"36","132:03:02","132:03:02","WW_R1","Exp60_282_IS31299","Exp60_282_IS31299",1,-0.959077294857636,-0.10584279888069,-0.0115806512473294,0.121965458568818,0.00733690529604642,-0.116791636874315,0.575213092436623,-14.1125170554509
"37","132:04:01","132:04:01","WW_R1","Exp60_72_IS9303","Exp60_72_IS9303",1,2.050752487269,1.22965274769677,-0.374792424397083,0.169939141482912,0.0261990482275967,-0.0709628459239727,0.927116523473705,651333.615969105
"38","132:04:02","132:04:02","WW_R1","Exp60_155_IS20064","Exp60_155_IS20064",1,0.664535293241803,0.913696507293979,0.343284131394749,0.0727180301200708,0.128721027159805,-0.10973207254323,-0.0999359006735695,-8.35383931344197
"39","132:05:01","132:05:01","WW_R1","Exp60_26_IS3073","Exp60_26_IS3073",1,-0.202875424516691,-0.0288744015218247,0.901477712996919,0.0202613911064435,0.0174564074435001,1.8756280007044,0.0299198231812751,0.193088663725755
"40","132:05:02","132:05:02","WW_R1","Exp60_118_R16","Exp60_118_R16",1,0.357232022830408,0.557864814481022,0.366458054457786,0.315324539377594,0.0712475942145562,1.92246594943392,0.233287353302618,287.388383644104
"41","132:06:01","132:06:01","WW_R1","Exp60_47_IS4963","Exp60_47_IS4963",1,1.01615991297107,0.0254502452202148,0.311553328043224,0.574980189344035,0.130282448561321,-0.0886948134048176,0.0327151472707876,-4.09278828144075
"42","132:06:02","132:06:02","WW_R1","Exp60_86_IS10971","Exp60_86_IS10971",1,0.118705285577399,0.0364414784558053,-0.485699580907125,0.0367217277485901,0.696260063825426,1.03400522942003,0.869158585807995,0.13599395293057
"43","132:07:01","132:07:01","WW_R1","Exp60_209_IS23601","Exp60_209_IS23601",1,179.481260997906,-111.761552036082,-497.87983512481,11.4073678821464,91.7427488489281,11.7745262118009,2.25807389853453,-825.531638333175
"44","132:07:02","132:07:02","WW_R1","Exp60_27_IS3121","Exp60_27_IS3121",1,179.481260997906,-2229.7191995384,0.00380084718811502,4.50457390535336e-73,-4.13964233396616e-128,-1.59044680618749e-88,9.58058833349408e-34,-0.338177730347684
"45","132:08:01","132:08:01","WW_R1","Exp60_142_IS18919","Exp60_142_IS18919",1,179.481260997906,-111.761552036082,-497.87983512481,11.4073678821464,91.7427488489281,11.7745262118009,2.25807389904827,-828.166705938419
"46","132:08:02","132:08:02","WW_R1","Exp60_73_IS9468","Exp60_73_IS9468",1,179.481260997906,-111.761552036082,-497.87983512481,11.4073678821464,91.7427488489281,11.7745262118009,2.25830469209713,-653.141195421585
"47","132:09:01","132:09:01","WW_R1","Exp60_116_IS14571","Exp60_116_IS14571",1,0.459083685477467,-0.897147573822455,0.826844969502421,0.421478034907845,0.0191189834624301,-0.977247026804551,-1.65568189408525,-9.79272287446969
"49","133:10:01","133:10:01","WW_R1","Exp60_149_IS19455","Exp60_149_IS19455",1,0.704252316872006,1.64834684123579,0.0238365679449395,0.0580637445622733,0.2905785585212,-2.72154338461167,-0.107288492758552,-5.2600814452331
"52","133:11:02","133:11:02","WW_R1","Exp60_196_IS22609","Exp60_196_IS22609",1,1.00020787915676,0.0217625746236963,0.129094782258672,0.650209658403125,0.167443447022601,-0.121505836488841,-0.00423158514369371,-17.2768538007387
"53","133:12:01","133:12:01","WW_R1","Exp60_214_IS23903","Exp60_214_IS23903",1,0.186178051049925,0.0826753833046559,-0.0941860263334485,0.0977997838386678,2.54051452505718,0.6915887129883,0.939324017551219,0.0833366250449774
"54","133:12:02","133:12:02","WW_R1","Exp60_242_IS27390","Exp60_242_IS27390",1,0.523314511404547,0.500915846800561,0.457661725830558,0.115525435576391,3.25184263893996,-0.327758190868873,2.02757578549314,-4.11198617340895
"55","133:01:01","133:01:01","WW_R1","Exp60_199_IS22986","Exp60_199_IS22986",1,1.7429020584786,0.103251244720677,-0.0347923534998869,1.19856772979659,0.0117321433280815,-2.49188279042191,0.980785016507838,0.87262374879732
"56","133:01:02","133:01:02","WW_R1","Exp60_91_IS11758","Exp60_91_IS11758",1,0.0637093140613895,-32.755607452479,-0.0109206422411492,0.791393633937082,0.00654094759930304,-0.111202548655548,0.66615395863546,-0.943473683891703
"57","133:02:01","133:02:01","WW_R1","Exp60_160_IS20665","Exp60_160_IS20665",1,-0.129541279630428,16.9723527835603,-0.301325392366206,9.82688773965516,0.0194159559878773,23.4651660021852,-0.023450303448011,-1.11643833846943
"58","133:02:02","133:02:02","WW_R1","Exp60_247_IS27855","Exp60_247_IS27855",1,0.416202926979827,-0.0922505462871581,0.00204659339719573,0.256095146371287,0.00962909553329509,-0.197013277259543,0.648213477157012,-3.30552317053226
"59","133:03:01","133:03:01","WW_R1","Exp60_275_IS30619","Exp60_275_IS30619",1,0.146481277644879,1.365412260399,0.65125590339048,0.0988494856240433,0.00997060267400608,-0.571327789306141,0.329620909919821,0.876936766400068
"60","133:03:02","133:03:02","WW_R1","Exp60_226_IS24953","Exp60_226_IS24953",1,0.465930293609498,0.534542702646703,-0.0476854501377624,0.0136157045283491,0.122067678651324,-0.0388453165768438,0.202191783983948,-2.38763892329829
"61","133:04:01","133:04:01","WW_R1","Exp60_299_IS33353","Exp60_299_IS33353",1,-0.256788372601864,0.532432679313258,0.192990920622174,0.0179699530494495,0.0104288231919033,0.550336659302951,-0.061057315812878,0.161573163746952
