"";"row.psx";"col.psx";"rep";"block";"geno_id";"rowNum";"colNum";"plotId";"unit";"old_unit";"new_unit"
"1";1;10;1;2;"Exp60_300_IS33423";10;3;"c3r10";"B-1:10:1";"B-1-10";"27:10:1"
"2";2;10;1;2;"Exp60_123_IS15478";10;4;"c4r10";"B-1001:10:1";"B-2-10";"27:10:2"
"3";1;11;1;3;"Exp60_167_IS20724";11;3;"c3r11";"B-1:11:1";"B-1-11";"27:11:1"
"4";2;11;1;3;"Exp60_191_IS22294";11;4;"c4r11";"B-1001:11:1";"B-2-11";"27:11:2"
"5";1;12;1;3;"Exp60_62_IS7277";12;3;"c3r12";"B-1:12:1";"B-1-12";"27:12:1"
"6";2;12;1;3;"Exp60_203_IS23100";12;4;"c4r12";"B-1001:12:1";"B-2-12";"27:12:2"
"7";1;1;1;1;"Exp60_133_IS18551";1;3;"c3r1";"B-1:1:1";"B-1-1";"27:1:1"
"8";2;1;1;1;"Exp60_67_IS8347";1;4;"c4r1";"B-1001:1:1";"B-2-1";"27:1:2"
"9";1;2;1;1;"Exp60_238_IS26815";2;3;"c3r2";"B-1:2:1";"B-1-2";"27:2:1"
"10";2;2;1;1;"Exp60_154_IS20016";2;4;"c4r2";"B-1001:2:1";"B-2-2";"27:2:2"
"11";1;3;1;1;"Exp60_289_IS32087";3;3;"c3r3";"B-1:3:1";"B-1-3";"27:3:1"
"12";2;3;1;1;"Exp60_266_IS30175";3;4;"c4r3";"B-1001:3:1";"B-2-3";"27:3:2"
"13";1;4;1;1;"Exp60_172_IS20763";4;3;"c3r4";"B-1:4:1";"B-1-4";"27:4:1"
"14";2;4;1;1;"Exp60_246_IS27791";4;4;"c4r4";"B-1001:4:1";"B-2-4";"27:4:2"
"15";1;5;1;1;"Exp60_51_IS5867";5;3;"c3r5";"B-1:5:1";"B-1-5";"27:5:1"
"16";2;5;1;1;"Exp60_270_IS30436";5;4;"c4r5";"B-1001:5:1";"B-2-5";"27:5:2"
"17";1;6;1;2;"Exp60_22_IS2834";6;3;"c3r6";"B-1:6:1";"B-1-6";"27:6:1"
"18";2;6;1;2;"Exp60_185_IS22040";6;4;"c4r6";"B-1001:6:1";"B-2-6";"27:6:2"
"19";1;7;1;2;"Exp60_132_IS17593";7;3;"c3r7";"B-1:7:1";"B-1-7";"27:7:1"
"20";2;7;1;2;"Exp60_2_IS35";7;4;"c4r7";"B-1001:7:1";"B-2-7";"27:7:2"
"21";1;8;1;2;"Exp60_291_IS32234";8;3;"c3r8";"B-1:8:1";"B-1-8";"27:8:1"
"22";2;8;1;2;"Exp60_48_IS5106";8;4;"c4r8";"B-1001:8:1";"B-2-8";"27:8:2"
"23";1;9;1;2;"Exp60_148_IS19418";9;3;"c3r9";"B-1:9:1";"B-1-9";"27:9:1"
"24";2;9;1;2;"Exp60_163_IS20700";9;4;"c4r9";"B-1001:9:1";"B-2-9";"27:9:2"
"25";1;10;1;5;"Exp60_114_IS14478";10;3;"c3r10";"B-1:10:1";"B-1-10";"27:10:1"
"26";2;10;1;5;"Exp60_318_SSM276";10;4;"c4r10";"B-1001:10:1";"B-2-10";"27:10:2"
"27";1;11;1;5;"Exp60_188_IS22282";11;3;"c3r11";"B-1:11:1";"B-1-11";"27:11:1"
"28";2;11;1;5;"Exp60_259_IS29638";11;4;"c4r11";"B-1001:11:1";"B-2-11";"27:11:2"
"29";1;12;1;5;"Exp60_279_IS31179";12;3;"c3r12";"B-1:12:1";"B-1-12";"27:12:1"
"30";2;12;1;5;"Exp60_127_IS16125";12;4;"c4r12";"B-1001:12:1";"B-2-12";"27:12:2"
"31";1;1;1;3;"Exp60_21_IS2814";1;3;"c3r1";"B-1:1:1";"B-1-1";"27:1:1"
"32";2;1;1;3;"Exp60_128_IS16173";1;4;"c4r1";"B-1001:1:1";"B-2-1";"27:1:2"
"33";1;2;1;3;"Exp60_64_IS7889";2;3;"c3r2";"B-1:2:1";"B-1-2";"27:2:1"
"34";2;2;1;3;"Exp60_273_IS30451";2;4;"c4r2";"B-1001:2:1";"B-2-2";"27:2:2"
"35";1;3;1;3;"Exp60_180_IS21519";3;3;"c3r3";"B-1:3:1";"B-1-3";"27:3:1"
"36";2;3;1;3;"Exp60_298_IS33261";3;4;"c4r3";"B-1001:3:1";"B-2-3";"27:3:2"
"37";1;4;1;4;"Exp60_52_IS5910";4;3;"c3r4";"B-1:4:1";"B-1-4";"27:4:1"
"38";2;4;1;4;"Exp60_104_IS14216";4;4;"c4r4";"B-1001:4:1";"B-2-4";"27:4:2"
"39";1;5;1;4;"Exp60_74_IS9527";5;3;"c3r5";"B-1:5:1";"B-1-5";"27:5:1"
"40";2;5;1;4;"Exp60_106_IS14276";5;4;"c4r5";"B-1001:5:1";"B-2-5";"27:5:2"
"41";1;6;1;4;"Exp60_308_SSM1123";6;3;"c3r6";"B-1:6:1";"B-1-6";"27:6:1"
