"";"sector";"genotype";"g_alias";"treatment";"timestamp";"Mass..g"
"865038";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 10:17:00";1806250
"865039";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 10:31:00";1806250
"865040";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 10:47:00";1806250
"865041";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 11:01:00";1806250
"865042";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 11:32:00";1806250
"865043";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 11:46:00";1806250
"865044";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 12:02:00";1806250
"865045";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 12:16:00";1499630
"865046";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 12:32:00";1532140
"865047";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 12:46:00";1302320
"865048";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 13:02:00";1395020
"865049";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 13:16:00";1717150
"865050";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 13:32:00";1680290
"865051";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 13:46:00";1806250
"865052";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 20:31:00";1806250
"865053";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 20:47:00";1806250
"865054";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 21:01:00";1806250
"865055";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 21:17:00";1806250
"865056";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 21:31:00";1806250
"865057";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 21:47:00";1806250
"865058";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 22:01:00";1806250
"865059";"27:10:1";"Exp60_300_IS33423";"Exp60_300_IS33423";NA;"2023-09-22 22:17:00";1806250
