"";"sector";"genotype";"replicate";"timestamp";"leaf_area"
"28945";"27:10:1";"IS33423";NA;"2023-09-22 10:34:00";144,614
"28946";"27:10:1";"IS33423";NA;"2023-09-22 13:18:00";218,02
"28947";"27:10:1";"IS33423";NA;"2023-09-23 06:28:00";673,075
"28948";"27:10:1";"IS33423";NA;"2023-09-23 08:54:00";784,313
"28949";"27:10:1";"IS33423";NA;"2023-09-24 08:55:00";1801,16
"28950";"27:10:1";"IS33423";NA;"2023-09-24 11:54:00";1826,78
"28951";"27:10:1";"IS33423";NA;"2023-09-25 08:59:00";3742,85
"28952";"27:10:1";"IS33423";NA;"2023-09-25 13:19:00";4059,66
"28953";"27:10:1";"IS33423";NA;"2023-09-26 09:00:00";5435,6
"28954";"27:10:1";"IS33423";NA;"2023-09-26 13:13:00";5441,39
"28955";"27:10:1";"IS33423";NA;"2023-09-27 08:41:00";6582,83
"28956";"27:10:1";"IS33423";NA;"2023-09-27 14:13:00";7665,96
"28957";"27:10:1";"IS33423";NA;"2023-09-28 08:34:00";10551,8
"28958";"27:10:1";"IS33423";NA;"2023-09-28 11:10:00";9887,82
"28959";"27:10:1";"IS33423";NA;"2023-09-29 10:23:00";17823,8
"28960";"27:10:1";"IS33423";NA;"2023-09-29 13:15:00";16411,3
"28961";"27:10:1";"IS33423";NA;"2023-09-30 07:12:00";20168,2
"28962";"27:10:1";"IS33423";NA;"2023-09-30 09:27:00";21831,5
"28963";"27:10:1";"IS33423";NA;"2023-10-02 07:20:00";30580,8
"28964";"27:10:1";"IS33423";NA;"2023-10-02 09:32:00";36802,5
"28965";"27:10:1";"IS33423";NA;"2023-10-03 08:49:00";44570,3
"28966";"27:10:1";"IS33423";NA;"2023-10-03 13:23:00";54651,8
"28967";"27:10:1";"IS33423";NA;"2023-10-04 08:47:00";55739,2
"28968";"27:10:1";"IS33423";NA;"2023-10-04 13:14:00";60726,2
"28969";"27:10:1";"IS33423";NA;"2023-10-05 09:16:00";64128,2
"28970";"27:10:1";"IS33423";NA;"2023-10-05 13:47:00";78330,4
"28971";"27:10:1";"IS33423";NA;"2023-10-06 08:52:00";76482,9
"28972";"27:10:1";"IS33423";NA;"2023-10-06 14:11:00";83543,2
"28973";"27:10:1";"IS33423";NA;"2023-10-07 06:39:00";85738,9
"28974";"27:10:1";"IS33423";NA;"2023-10-07 08:28:00";83945,5
"28975";"27:10:1";"IS33423";NA;"2023-10-08 08:04:00";88708
