"";"sector";"sensor"
"1";"27:1:1";"E10987"
"2";"27:1:1";"E10988"
"3";"27:1:1";"E10989"
"4";"27:1:1";"E10990"
"5";"27:1:1";"E11004"
"6";"27:1:1";"E11005"
"7";"27:1:1";"E11006"
"8";"27:1:1";"E11007"
"9";"27:1:1";"E11008"
"10";"27:1:1";"E11009"
"11";"27:1:1";"E11010"
"12";"27:1:1";"E11011"
"13";"27:1:1";"Anywhere"
"14";"27:10:1";"E10987"
"15";"27:10:1";"E10988"
"16";"27:10:1";"E10989"
"17";"27:10:1";"E10990"
"18";"27:10:1";"E11004"
"19";"27:10:1";"E11005"
"20";"27:10:1";"E11006"
"21";"27:10:1";"E11007"
"22";"27:10:1";"E11008"
"23";"27:10:1";"E11009"
"24";"27:10:1";"E11010"
"25";"27:10:1";"E11011"
"26";"27:10:1";"Anywhere"
"27";"27:11:1";"E10987"
"28";"27:11:1";"E10988"
"29";"27:11:1";"E10989"
"30";"27:11:1";"E10990"
"31";"27:11:1";"E11004"
"32";"27:11:1";"E11005"
"33";"27:11:1";"E11006"
"34";"27:11:1";"E11007"
"35";"27:11:1";"E11008"
"36";"27:11:1";"E11009"
"37";"27:11:1";"E11010"
"38";"27:11:1";"E11011"
"39";"27:11:1";"Anywhere"
"40";"27:12:1";"E10987"
"41";"27:12:1";"E10988"
"42";"27:12:1";"E10989"
"43";"27:12:1";"E10990"
"44";"27:12:1";"E11004"
"45";"27:12:1";"E11005"
"46";"27:12:1";"E11006"
"47";"27:12:1";"E11007"
"48";"27:12:1";"E11008"
"49";"27:12:1";"E11009"
"50";"27:12:1";"E11010"
"51";"27:12:1";"E11011"
"52";"27:12:1";"Anywhere"
"53";"27:2:1";"E10987"
"54";"27:2:1";"E10988"
"55";"27:2:1";"E10989"
"56";"27:2:1";"E10990"
"57";"27:2:1";"E11004"
"58";"27:2:1";"E11005"
"59";"27:2:1";"E11006"
"60";"27:2:1";"E11007"
"61";"27:2:1";"E11008"
"62";"27:2:1";"E11009"
"63";"27:2:1";"E11010"
"64";"27:2:1";"E11011"
"65";"27:2:1";"Anywhere"
"66";"27:3:1";"E10987"
"67";"27:3:1";"E10988"
"68";"27:3:1";"E10989"
"69";"27:3:1";"E10990"
"70";"27:3:1";"E11004"
"71";"27:3:1";"E11005"
"72";"27:3:1";"E11006"
"73";"27:3:1";"E11007"
"74";"27:3:1";"E11008"
"75";"27:3:1";"E11009"
"76";"27:3:1";"E11010"
"77";"27:3:1";"E11011"
"78";"27:3:1";"Anywhere"
"79";"27:4:1";"E10987"
"80";"27:4:1";"E10988"
"81";"27:4:1";"E10989"
"82";"27:4:1";"E10990"
"83";"27:4:1";"E11004"
"84";"27:4:1";"E11005"
"85";"27:4:1";"E11006"
"86";"27:4:1";"E11007"
"87";"27:4:1";"E11008"
"88";"27:4:1";"E11009"
"89";"27:4:1";"E11010"
"90";"27:4:1";"E11011"
"91";"27:4:1";"Anywhere"
"92";"27:5:1";"E10987"
"93";"27:5:1";"E10988"
"94";"27:5:1";"E10989"
"95";"27:5:1";"E10990"
"96";"27:5:1";"E11004"
"97";"27:5:1";"E11005"
"98";"27:5:1";"E11006"
"99";"27:5:1";"E11007"
"100";"27:5:1";"E11008"
"101";"27:5:1";"E11009"
"102";"27:5:1";"E11010"
"103";"27:5:1";"E11011"
"104";"27:5:1";"Anywhere"
"105";"27:6:1";"E10987"
"106";"27:6:1";"E10988"
"107";"27:6:1";"E10989"
"108";"27:6:1";"E10990"
"109";"27:6:1";"E11004"
"110";"27:6:1";"E11005"
"111";"27:6:1";"E11006"
"112";"27:6:1";"E11007"
"113";"27:6:1";"E11008"
"114";"27:6:1";"E11009"
"115";"27:6:1";"E11010"
"116";"27:6:1";"E11011"
"117";"27:6:1";"Anywhere"
"118";"27:7:1";"E10987"
"119";"27:7:1";"E10988"
"120";"27:7:1";"E10989"
"121";"27:7:1";"E10990"
"122";"27:7:1";"E11004"
"123";"27:7:1";"E11005"
"124";"27:7:1";"E11006"
"125";"27:7:1";"E11007"
"126";"27:7:1";"E11008"
"127";"27:7:1";"E11009"
"128";"27:7:1";"E11010"
"129";"27:7:1";"E11011"
"130";"27:7:1";"Anywhere"
"131";"27:8:1";"E10987"
"132";"27:8:1";"E10988"
"133";"27:8:1";"E10989"
"134";"27:8:1";"E10990"
"135";"27:8:1";"E11004"
"136";"27:8:1";"E11005"
"137";"27:8:1";"E11006"
"138";"27:8:1";"E11007"
"139";"27:8:1";"E11008"
"140";"27:8:1";"E11009"
"141";"27:8:1";"E11010"
"142";"27:8:1";"E11011"
"143";"27:8:1";"Anywhere"
"144";"27:9:1";"E10987"
"145";"27:9:1";"E10988"
"146";"27:9:1";"E10989"
"147";"27:9:1";"E10990"
"148";"27:9:1";"E11004"
"149";"27:9:1";"E11005"
"150";"27:9:1";"E11006"
"151";"27:9:1";"E11007"
"152";"27:9:1";"E11008"
"153";"27:9:1";"E11009"
"154";"27:9:1";"E11010"
"155";"27:9:1";"E11011"
"156";"27:9:1";"Anywhere"
"157";"27:1:2";"E10987"
"158";"27:1:2";"E10988"
"159";"27:1:2";"E10989"
"160";"27:1:2";"E10990"
"161";"27:1:2";"E11004"
"162";"27:1:2";"E11005"
"163";"27:1:2";"E11006"
"164";"27:1:2";"E11007"
"165";"27:1:2";"E11008"
"166";"27:1:2";"E11009"
"167";"27:1:2";"E11010"
"168";"27:1:2";"E11011"
"169";"27:1:2";"Anywhere"
"170";"27:10:2";"E10987"
"171";"27:10:2";"E10988"
"172";"27:10:2";"E10989"
"173";"27:10:2";"E10990"
"174";"27:10:2";"E11004"
"175";"27:10:2";"E11005"
"176";"27:10:2";"E11006"
"177";"27:10:2";"E11007"
"178";"27:10:2";"E11008"
"179";"27:10:2";"E11009"
"180";"27:10:2";"E11010"
"181";"27:10:2";"E11011"
"182";"27:10:2";"Anywhere"
"183";"27:11:2";"E10987"
"184";"27:11:2";"E10988"
"185";"27:11:2";"E10989"
"186";"27:11:2";"E10990"
"187";"27:11:2";"E11004"
"188";"27:11:2";"E11005"
"189";"27:11:2";"E11006"
"190";"27:11:2";"E11007"
"191";"27:11:2";"E11008"
"192";"27:11:2";"E11009"
"193";"27:11:2";"E11010"
"194";"27:11:2";"E11011"
"195";"27:11:2";"Anywhere"
"196";"27:12:2";"E10987"
"197";"27:12:2";"E10988"
"198";"27:12:2";"E10989"
"199";"27:12:2";"E10990"
"200";"27:12:2";"E11004"
"201";"27:12:2";"E11005"
"202";"27:12:2";"E11006"
"203";"27:12:2";"E11007"
"204";"27:12:2";"E11008"
"205";"27:12:2";"E11009"
"206";"27:12:2";"E11010"
"207";"27:12:2";"E11011"
"208";"27:12:2";"Anywhere"
"209";"27:2:2";"E10987"
"210";"27:2:2";"E10988"
"211";"27:2:2";"E10989"
"212";"27:2:2";"E10990"
"213";"27:2:2";"E11004"
"214";"27:2:2";"E11005"
"215";"27:2:2";"E11006"
"216";"27:2:2";"E11007"
"217";"27:2:2";"E11008"
"218";"27:2:2";"E11009"
"219";"27:2:2";"E11010"
"220";"27:2:2";"E11011"
"221";"27:2:2";"Anywhere"
"222";"27:3:2";"E10987"
"223";"27:3:2";"E10988"
"224";"27:3:2";"E10989"
"225";"27:3:2";"E10990"
"226";"27:3:2";"E11004"
"227";"27:3:2";"E11005"
"228";"27:3:2";"E11006"
"229";"27:3:2";"E11007"
"230";"27:3:2";"E11008"
"231";"27:3:2";"E11009"
"232";"27:3:2";"E11010"
"233";"27:3:2";"E11011"
"234";"27:3:2";"Anywhere"
"235";"27:4:2";"E10987"
"236";"27:4:2";"E10988"
"237";"27:4:2";"E10989"
"238";"27:4:2";"E10990"
"239";"27:4:2";"E11004"
"240";"27:4:2";"E11005"
"241";"27:4:2";"E11006"
"242";"27:4:2";"E11007"
"243";"27:4:2";"E11008"
"244";"27:4:2";"E11009"
"245";"27:4:2";"E11010"
"246";"27:4:2";"E11011"
"247";"27:4:2";"Anywhere"
"248";"27:5:2";"E10987"
"249";"27:5:2";"E10988"
"250";"27:5:2";"E10989"
"251";"27:5:2";"E10990"
"252";"27:5:2";"E11004"
"253";"27:5:2";"E11005"
"254";"27:5:2";"E11006"
"255";"27:5:2";"E11007"
"256";"27:5:2";"E11008"
"257";"27:5:2";"E11009"
"258";"27:5:2";"E11010"
"259";"27:5:2";"E11011"
"260";"27:5:2";"Anywhere"
"261";"27:6:2";"E10987"
"262";"27:6:2";"E10988"
"263";"27:6:2";"E10989"
"264";"27:6:2";"E10990"
"265";"27:6:2";"E11004"
"266";"27:6:2";"E11005"
"267";"27:6:2";"E11006"
"268";"27:6:2";"E11007"
"269";"27:6:2";"E11008"
"270";"27:6:2";"E11009"
"271";"27:6:2";"E11010"
"272";"27:6:2";"E11011"
"273";"27:6:2";"Anywhere"
"274";"27:7:2";"E10987"
"275";"27:7:2";"E10988"
"276";"27:7:2";"E10989"
"277";"27:7:2";"E10990"
"278";"27:7:2";"E11004"
"279";"27:7:2";"E11005"
"280";"27:7:2";"E11006"
"281";"27:7:2";"E11007"
"282";"27:7:2";"E11008"
"283";"27:7:2";"E11009"
"284";"27:7:2";"E11010"
"285";"27:7:2";"E11011"
"286";"27:7:2";"Anywhere"
"287";"27:8:2";"E10987"
"288";"27:8:2";"E10988"
"289";"27:8:2";"E10989"
"290";"27:8:2";"E10990"
"291";"27:8:2";"E11004"
"292";"27:8:2";"E11005"
"293";"27:8:2";"E11006"
"294";"27:8:2";"E11007"
"295";"27:8:2";"E11008"
"296";"27:8:2";"E11009"
"297";"27:8:2";"E11010"
"298";"27:8:2";"E11011"
"299";"27:8:2";"Anywhere"
"300";"27:9:2";"E10987"
"301";"27:9:2";"E10988"
"302";"27:9:2";"E10989"
"303";"27:9:2";"E10990"
"304";"27:9:2";"E11004"
"305";"27:9:2";"E11005"
"306";"27:9:2";"E11006"
"307";"27:9:2";"E11007"
"308";"27:9:2";"E11008"
"309";"27:9:2";"E11009"
"310";"27:9:2";"E11010"
"311";"27:9:2";"E11011"
"312";"27:9:2";"Anywhere"
"313";"53:1:1";"E10987"
"314";"53:1:1";"E10988"
"315";"53:1:1";"E10989"
"316";"53:1:1";"E10990"
"317";"53:1:1";"E11004"
"318";"53:1:1";"E11005"
"319";"53:1:1";"E11006"
"320";"53:1:1";"E11007"
"321";"53:1:1";"E11008"
"322";"53:1:1";"E11009"
"323";"53:1:1";"E11010"
"324";"53:1:1";"E11011"
"325";"53:1:1";"Anywhere"
"326";"53:10:1";"E10987"
"327";"53:10:1";"E10988"
"328";"53:10:1";"E10989"
"329";"53:10:1";"E10990"
"330";"53:10:1";"E11004"
"331";"53:10:1";"E11005"
"332";"53:10:1";"E11006"
"333";"53:10:1";"E11007"
"334";"53:10:1";"E11008"
"335";"53:10:1";"E11009"
"336";"53:10:1";"E11010"
"337";"53:10:1";"E11011"
"338";"53:10:1";"Anywhere"
"339";"53:11:1";"E10987"
"340";"53:11:1";"E10988"
"341";"53:11:1";"E10989"
